Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
2025 storages Capex and Opex,Biomass wheat 1,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,22.75747087557811,0.0,0.0,0.0,0.0,0.0,0.0,15.486278399998998,15.486278399998998,166.87799999999393,0.0,0.0,0.0,0.0,0.0,0.09279999999999737,0.9300974955604605,7332.888654998671,0.04282402367756062,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Sale of biochar,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,2.090953912004037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8169287680061437,15.332732219461493,-1.8169287680061437,0.0,0.0,0.0,0.0,-0.11849999999999718,0.9300974955604605,7332.888654998671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Wheat1-stage-SOEC,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,8.959634202983509,149.5227658001483,14.007110140631267,12.978298932047704,0.8069840372818842,0.0,0.0,0.0,27.792393109960855,65.70000000000636,0.0,54.53099999998919,1.0408829309253556,36.14176843490818,130.11036636566945,0.4230196820389371,0.9300974955604605,7332.888654998671,0.08748005208617135,0.0,7.305735115328208,0.0,0.0,0.0,0.008308971278338984,45.84717111186065
2025 storages Capex and Opex,Desalination plant,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,17.143096317263755,2.304615010315036,0.26924712290782665,0.06913845030945107,0.0,0.0,0.0,0.0,0.3383855732172777,86.60933605886548,0.0,0.5846130183973416,0.0,0.0,0.0,0.0039070334517665424,0.6408093332621535,5052.140783438818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Electrolysers SOEC heat integrated,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.5238307837567782,60.31928439027972,5.337989769051303,5.157298815368917,0.0,0.0,0.0,0.0,10.49528858442022,7.698607649676806,0.0,263.2923816189903,0.0,0.0,0.0,1.3632710045771486,0.6408093332621535,5052.140783438818,0.09723922828185164,0.0,0.0,0.0,0.024283767369948018,1.2833886864718452e-5,0.0,45.84717111186065
2025 storages Capex and Opex,H2 pipeline to Wheat-1,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.0491374944945562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.693208430912178,0.0,0.0,0.0,0.0,0.0,0.0,0.9300974955604605,7332.888654998671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Heat from district heating,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Heat sent to district heating,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,8.063670782685158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1825999999999555,59.12999999999702,-1.1825999999999555,0.0,0.0,0.0,0.0,-0.020000000000000254,0.9300974955604605,7332.888654998671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Heat sent to other process,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,23.295048927757122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7224699999996185,170.8199999999788,-5.7224699999996185,0.0,0.0,0.0,0.0,-0.033500000000001924,0.9300974955604605,7332.888654998671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
2025 storages Capex and Opex,Sale of oxygen,2030 bench,Esbjerg,2019,DME-W1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,12.190646270054225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.588861197414445,0.0,0.0,0.0,0.0,0.0,0.0,0.6408093332621535,5052.140783438818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84717111186065
