Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
2050 power Capex and Opex,Biomass bamboo 2,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,14.099133174681617,0.0,0.0,0.0,0.0,0.0,0.0,14.412806100000903,14.412806100000903,101.17800000000632,0.0,0.0,0.0,0.0,0.0,0.14245000000000002,0.9102214422925267,7176.18585103428,0.026531138552555122,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Sale of biochar,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Bamboo2-stage-SOEC,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,9.155281282260791,91.14924802368586,8.538750266363909,9.490913894068473,0.25959455553462496,0.0,0.0,0.0,18.28925871596701,65.70000000000039,0.0,11.825999999999524,0.925320003093476,32.129166774079025,115.6650003866845,0.2783753229218706,0.9102214422925267,7176.18585103428,0.0893903105072191,0.0,7.416696095535883,0.0,0.0,0.0,0.00754595709793016,41.37469273680749
2050 power Capex and Opex,Desalination plant,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,19.853165195930835,2.6689404099497662,0.31181109355578585,0.08006821229849298,0.0,0.0,0.0,0.0,0.3918793058542788,101.58387450729344,0.0,0.6856911529241905,0.0,0.0,0.0,0.003857692057474565,0.6490055359417088,5116.759645364433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Electrolysers SOEC heat integrated,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.764725795193852,69.85486725024104,6.181846659313367,5.972591149895609,0.0,0.0,0.0,0.0,12.154437809208975,9.029677733981362,0.0,308.81497850216647,0.0,0.0,0.0,1.3460544404002606,0.6490055359417088,5116.759645364433,0.11261130585030381,0.0,0.0,0.0,0.02812267027220923,1.486273373932916e-5,0.0,41.37469273680749
2050 power Capex and Opex,H2 pipeline to Bamboo-2,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.2575935827281306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024725274724554,0.0,0.0,0.0,0.0,0.0,0.0,0.9102214422925267,7176.18585103428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Heat from district heating,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Heat sent to district heating,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,14.099133174681617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0235599999998017,101.17800000000632,-2.0235599999998017,0.0,0.0,0.0,0.0,-0.01999999999999679,0.9102214422925267,7176.18585103428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Heat sent to other process,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.922609069274766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4621995000000331,13.797000000000274,-0.4621995000000331,0.0,0.0,0.0,0.0,-0.03350000000000174,0.9102214422925267,7176.18585103428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,Sale of oxygen,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,14.117806361550816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2374218718509,0.0,0.0,0.0,0.0,0.0,0.0,0.6490055359417088,5116.759645364433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,H2 pipes compressor,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,64.71398106711781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6550697134736456,0.0,2.4957655306654236,0.0,0.0,0.0,0.0,0.005203926998670277,41.027760457516464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,H2 pipes valve,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,65.97157464984595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6501172542176077,0.0,0.0,0.0,0.0,0.0,0.0,0.005095204551951487,40.170592687585525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37469273680749
2050 power Capex and Opex,H2 buried pipes,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,55.02732506882789,13.756831267206975,1.124522707028578,0.4127049380162093,0.0,0.0,0.0,0.0,1.5372276450447873,241.0344655966111,0.0,0.0,0.0,0.0,0.0,0.0063776258770289335,0.5555896279113223,4380.268626452865,0.00018106513295739987,0.0,0.0,0.0,0.0550273250688279,2.9081750522591942e-5,0.0,41.37469273680749
2050 power Capex and Opex,Solar tracking,2030 bench,Esbjerg,2019,DME-B2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,105.71963959325099,39.68761786972064,3.328210044128289,0.8598983871772806,0.0,0.0,0.0,0.0,4.18810843130557,149.57457764824235,0.0,0.0,0.0,0.0,0.0,0.028000135431803335,0.1794549720953834,1414.8230000000028,5.061195625122537,0.0,0.0,0.0,1.6841138587204882,0.0008900483356166911,0.0,41.37469273680749
