Informations,Time,Biomass bamboo 2,Biochar,DME-B2,H2O sea,H2_from_SOEC_HI,H2_pipeline_to_Bamboo-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Base-case,1,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,532.5907603609369,0.0,34982.26338432588,34523.843354300865,0.0,6094.737196676982,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
Profile: 2019,2,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,1065.1815207218738,0.0,34990.07996055804,34532.448204401604,0.0,6111.15862300988,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
Location: Esbjerg,3,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,1597.7722810828107,0.0,35010.11950965372,34537.45901140214,0.0,0.0,5844.008551529616,0.0,5844.008551529616,1787.4455655794152,63703.569969526245,1.0
Fuel: DME-B2,4,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609414,0.0,2130.363041443752,0.0,35012.03624310039,34535.49743152362,0.0,6136.164132674236,0.0,0.0,5844.008551529616,1787.4455655794152,63411.36954194977,1.0
Electrolyser: SOEC,5,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,2662.9538018046887,0.0,35013.676013219825,34534.0355758058,0.0,6136.342047075861,0.0,0.0,5844.008551529616,1787.4455655794152,63411.36954194977,1.0
CO2 capture: None,6,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,3195.5445621656254,0.0,35046.31356200581,34541.85747106428,0.0,6176.8014911203245,0.0,0.0,5844.008551529616,1787.4455655794152,63411.36954194977,1.0
CO2taxWTTup: 0,7,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609367,0.0,3728.135322526562,0.0,35047.126421473935,34541.85747106428,0.0,11729.422474541581,0.0,5844.008551529616,0.0,1787.4455655794152,63703.569969526245,1.0
CO2taxWTTop: 0,8,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,4260.726082887499,0.0,35039.602713924935,34540.9892366342,0.0,6169.222408609374,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
CO2WTTop_treshhold -1,9,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,4793.316843248435,1767.7198634237905,35035.79130891793,34539.69486695015,0.0,7931.836497342105,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
Renewable criterion: None,10,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,5325.907603609372,8642.185998960755,35036.04082096157,34539.187530838775,0.0,14806.044808811337,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
