Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
2025 storages Capex and Opex,Biomass bamboo 1,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,19.6626698978015,0.0,0.0,0.0,0.0,0.0,0.0,20.683312650000413,20.683312650000413,145.19699999997863,0.0,0.0,0.0,0.0,0.0,0.1424500000000238,0.9366310253078138,7384.399003526804,0.03700036115046953,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Sale of biochar,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Bamboo1-stage-SOEC,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,8.89713570036267,114.81753621318026,10.755966606205861,10.761174600945655,0.6127704074024011,0.0,0.0,0.0,22.12991161455392,65.69999999999291,0.0,21.02400000000063,0.9303282559027565,32.30306444106793,116.29103198784456,0.33683274908000466,0.9366310253078138,7384.399003526804,0.08686982937611933,0.0,4.800554363100221,0.0,0.0,0.0,0.005467998469846907,46.15210940391577
2025 storages Capex and Opex,Desalination plant,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,12.207677084440459,1.641126861169669,0.19173210437273128,0.049233805835090065,0.0,0.0,0.0,0.0,0.24096591020782135,62.10636931687241,0.0,0.41921799288890627,0.0,0.0,0.0,0.0038798904662803763,0.6452923150842583,5087.484612124293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Electrolysers SOEC heat integrated,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.085126851950263,42.95363755610029,3.801206863371707,3.672536011046575,0.0,0.0,0.0,0.0,7.4737428744182814,5.520566161499667,0.0,188.80336272331405,0.0,0.0,0.0,1.353800073358424,0.6452923150842583,5087.484612124293,0.06924449800879073,0.0,0.0,0.0,0.017292581512679397,9.139069377156933e-6,0.0,46.15210940391577
2025 storages Capex and Opex,H2 pipeline to Bamboo-1,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.7470307053201234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51637279596938,0.0,0.0,0.0,0.0,0.0,0.0,0.9366310253078138,7384.399003526804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Heat from district heating,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Heat sent to district heating,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,4.537539207184961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6701399999999749,33.5070000000041,-0.6701399999999749,0.0,0.0,0.0,0.0,-0.019999999999996805,0.9366310253078138,7384.399003526804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Heat sent to other process,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,12.722904051518617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.147358500000131,93.95099999999405,-3.147358500000131,0.0,0.0,0.0,0.0,-0.03350000000000352,0.9366310253078138,7384.399003526804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,Sale of oxygen,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,8.681014815602104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.16452929199733,0.0,0.0,0.0,0.0,0.0,0.0,0.6452923150842583,5087.484612124293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,H2 pipes compressor,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,40.83706030358081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5998871597327247,0.0,2.4438939301488425,0.0,0.0,0.0,0.0,0.008075202319023173,63.66489508317869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,H2 pipes valve,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,41.584091008900934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.595693794202741,0.0,0.0,0.0,0.0,0.0,0.0,0.00791734610720242,62.42035670918387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15210940391577
2025 storages Capex and Opex,H2 buried pipes,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,46.592950333735466,11.648237583433867,0.9521602326154343,0.34944712750301604,0.0,0.0,0.0,0.0,1.3016073601184504,209.26463436350406,0.0,0.0,0.0,0.0,0.0,0.006219910803740911,0.5696774278250172,4491.336840972435,0.00015331217238897488,0.0,0.0,0.0,0.04659295033373547,2.462421271654643e-5,0.0,46.15210940391577
2025 storages Capex and Opex,Solar tracking,2030 bench,Esbjerg,2019,DME-B1,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,63.14264628059679,28.97158885057516,2.42956211993779,0.5860162290229975,0.0,0.0,0.0,0.0,3.015578348960788,89.33566823865291,0.0,0.0,0.0,0.0,0.0,0.03375559178563391,0.1794549720953834,1414.8230000000028,3.022875279783437,0.0,0.0,0.0,1.005862355249907,0.0005315947674879585,0.0,46.15210940391577
