Informations,Time,CO2 DAC,MeOH,H2O sea,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Arica,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Profile: 2020ma,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Location: Arica,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fuel: MeOH,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Electrolyser: SOEC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2 capture: DAC,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2taxWTTup: 0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2taxWTTop: 0,8,2666.5996954236102,1946.4231353457008,4162.977238144323,370.04242116838424,370.0424211683842,0.0,1323.5677320350767,0.0,2960.339369347074,0.0,0.0,0.0,0.0,20576.153877768465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.04242116838424,20576.153877768462,1.0
CO2WTTop_treshhold -1,9,19157.413601332784,13983.51357761517,29907.70489508948,2658.462657341287,2658.462657341287,0.0,9508.789232778316,0.0,21267.701258730296,0.0,0.0,0.0,0.0,147823.42127975766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.462657341287,147823.42127975766,1.0
Renewable criterion: None,10,20282.570832513138,14804.79622811178,69408.52876113908,6169.647000990141,2814.6000433672584,0.0,10067.261435116012,0.0,49357.17600792113,3355.0469576228825,0.0,3355.0469576228825,0.0,304851.9640311485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6169.647000990141,304851.9640311485,1.0
Renewable application: 0,11,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,6832.962261226943,0.0,364955.99246357754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52067.89459599712,0.0,52067.89459599712,6292.515346971318,312888.0978675804,1.0
 ,12,20282.570832513138,14804.79622811178,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.261435116012,0.0,50340.12277577054,3477.915303604059,0.0,10310.877564831002,0.0,395278.7455466047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80946.70705602296,0.0,133014.60165202006,6292.515346971318,314332.03849058173,1.0
 ,13,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,13788.79286843506,0.0,407732.73341999087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92807.64788781933,0.0,225822.2495398394,6292.515346971318,314925.08553217154,1.0
 ,14,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,17266.70817203912,0.0,403942.3892846125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89197.79633031612,0.0,315020.0458701555,6292.515346971318,314744.5929542964,1.0
 ,15,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,20744.62347564318,0.0,382824.7576732185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69085.76622422654,0.0,384105.812094382,6292.515346971318,313738.9914489919,1.0
 ,16,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,24222.53877924724,0.0,324886.6401752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13906.606702391378,0.0,398012.4187967734,6292.515346971318,310980.03347290016,1.0
 ,17,20282.570832513138,14804.79622811178,52325.0633611902,4651.116743216907,2814.6000433672584,0.0,10067.261435116012,0.0,37208.933945735254,1836.5166998496486,0.0,26059.05547909689,0.0,237708.7250615883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398012.4187967734,4651.116743216907,237708.7250615883,1.0
 ,18,20282.570832513138,14804.79622811178,25747.45910870834,2288.663031885186,2814.6000433672584,0.0,10067.261435116012,0.0,18309.304255081486,0.0,525.9370114820731,25533.118467614815,0.0,133745.00020549502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398012.4187967734,2288.663031885186,133745.00020549502,1.0
 ,19,20282.570832513138,14804.79622811178,8574.44721495146,762.1730857734632,2814.6000433672584,0.0,10067.261435116012,0.0,6097.3846861877055,0.0,2052.4269575937956,23480.69151002102,0.0,67684.71670318574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398012.4187967734,762.1730857734632,67684.71670318572,1.0
 ,20,20282.570832513138,14804.796228111778,0.0,0.0,2814.6000433672584,0.0,10067.26143511601,0.0,0.0,0.0,2814.6000433672584,20666.09146665376,0.0,22742.06481227041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12588.312701895562,385424.1060948779,0.0,35330.37751416598,1.0
 ,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20666.09146665376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385424.1060948779,0.0,0.0,1.0
 ,22,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,17851.4914232865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,348896.77780111873,0.0,36527.32829375916,1.0
