Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Bornholm - byproduct sale,1,3057.723151299693,3843.0400262236576,1305.4407599992,116.03917866659556,116.03917866659557,0.0,0.0,0.0,928.3134293327645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5016.156120296927,0.0,0.0,0.0,0.0,0.0,116.03917866659556,5016.156120296927,1.0
Profile: 2020,2,3336.475317777238,4193.384279173578,1424.449061945436,126.61769439514987,126.61769439514987,0.0,0.0,0.0,1012.941555161199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5473.445520525339,0.0,0.0,0.0,0.0,0.0,126.61769439514987,5473.445520525338,1.0
Location: Bornholm,3,3431.6728879239654,4313.031498483671,1465.0919789700195,130.2303981306684,130.2303981306684,0.0,0.0,0.0,1041.8431850453471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5629.6159291923,0.0,0.0,0.0,0.0,0.0,130.2303981306684,5629.6159291922995,1.0
Fuel: MeOH,4,3652.5263107504907,4590.6068386481575,1559.3814374582857,138.6116833296254,138.6116833296254,0.0,0.0,0.0,1108.8934666370033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6772.371853689476,0.0,780.4486802560114,0.0,0.0,0.0,138.6116833296254,5991.923173433464,1.0
Electrolyser: SOEC,5,3652.5263107504907,4590.6068386481575,1611.442584932285,143.23934088286978,138.6116833296254,0.0,0.0,0.0,1145.9147270629583,4.627657553244387,0.0,4.627657553244387,0.0,0.0,0.0,0.0,0.0,6196.318130702356,0.0,0.0,0.0,0.0,0.0,143.23934088286978,6196.318130702355,1.0
CO2 capture: None,6,3652.5263107504907,4590.6068386481575,1769.1252037901863,157.2555736702388,138.6116833296254,0.0,0.0,0.0,1258.0445893619103,18.643890340613382,0.0,23.27154789385777,0.0,0.0,0.0,0.0,0.0,6815.388852483969,0.0,0.0,0.0,0.0,0.0,157.2555736702388,6815.388852483968,1.0
CO2taxWTTup: 0,7,3652.5263107504907,4590.6068386481575,1297.576523652386,115.34013543576764,138.6116833296254,0.0,0.0,0.0,922.7210834861411,0.0,23.27154789385777,0.0,0.0,0.0,0.0,0.0,0.0,7905.776256709587,0.0,2919.838464575294,0.0,0.0,0.0,115.34013543576764,4985.937792134293,1.0
CO2taxWTTop: 0,8,3652.5263107504907,4590.6068386481575,2098.7819175354057,186.55839266981383,138.6116833296254,0.0,0.0,0.0,1492.4671413585106,47.946709340188406,0.0,47.946709340188406,0.0,0.0,0.0,0.0,0.0,8109.639424909574,0.0,0.0,0.0,0.0,0.0,186.55839266981383,8109.639424909574,1.0
CO2WTTop_treshhold -1,9,3652.5263107504907,4590.6068386481575,1559.3814374582857,138.6116833296254,138.6116833296254,0.0,0.0,0.0,1108.8934666370033,0.0,0.0,47.946709340188406,0.0,0.0,0.0,0.0,0.0,8229.338899815988,0.0,2237.4157263825236,0.0,0.0,0.0,138.6116833296254,5991.923173433464,1.0
Renewable criterion: None,10,3652.5263107504907,4590.6068386481575,2296.0042867413595,204.0892699325653,138.6116833296254,0.0,0.0,0.0,1632.7141594605223,65.47758660293988,0.0,113.42429594312829,0.0,417.4890323606883,0.0,0.0,0.0,8522.041522048079,0.0,55.58515119832879,0.0,0.0,0.0,204.0892699325653,8883.945403210439,1.0
