Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Base-case,1,3713.8508371385087,4667.681380010147,1585.5628581995743,140.93892072885106,140.93892072885134,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,8.661854302599316e-12,0.0,8.661854302599316e-12,140.93892072885106,6092.525282631866,1.0
Profile: 2019,2,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.7323708605198632e-12,0.0,6.929483442079453e-12,140.9389207288513,6092.525282631875,1.0
Location: Esbjerg,3,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.7323708605198632e-12,0.0,5.19711258155959e-12,140.9389207288513,6092.525282631875,1.0
Fuel: MeOH,4,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.7323708605198632e-12,0.0,3.464741721039727e-12,140.9389207288513,6092.525282631875,1.0
Electrolyser: SOEC,5,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,2.5985562907797954e-12,140.9389207288513,6092.525282631875,1.0
CO2 capture: None,6,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.7323708605198638e-12,0.0,8.661854302599316e-13,140.9389207288513,6092.525282631875,1.0
CO2taxWTTup: 0,7,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,0.0,140.9389207288513,6092.525282631875,1.0
CO2taxWTTop: 0,8,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631875,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
CO2WTTop_treshhold -1,9,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,161.03591055414643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5931.489372077728,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
Renewable criterion: None,10,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,787.2866738202714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.238608811604,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
Renewable application: 0,11,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,1010.9476607010305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5081.5776219308445,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,12,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,751.5009159193501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5341.024366712525,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,13,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,840.9653106716537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5251.559971960221,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,14,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,483.10773166243933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5609.417550969435,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,15,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,134.19659212845536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5958.328690503419,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,16,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,-1.2645968928111307e-12,140.9389207288513,6092.525282631875,1.0
 ,17,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,-2.5291937856222615e-12,140.9389207288513,6092.525282631875,1.0
 ,18,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631885,0.0,9.389314722544182e-12,0.0,6.8601209369219205e-12,140.9389207288513,6092.525282631876,1.0
 ,19,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,5.993935506661989e-12,140.9389207288513,6092.525282631875,1.0
 ,20,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,5.127750076402057e-12,140.9389207288513,6092.525282631875,1.0
 ,21,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,4.261564646142125e-12,140.9389207288513,6092.525282631875,1.0
 ,22,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,2.9969677533309943e-12,140.9389207288513,6092.525282631875,1.0
 ,23,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,-2.5579538487363607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,2.1307823230710625e-12,140.9389207288513,6092.525282631875,1.0
