Informations,Time,MeOH biogas H2,Biogas,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Base-case,1,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,1156.6839788493583,0.0,162640.1985555566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26080.501901036652,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
Profile: 2019,2,2637.044073147364,3314.3176875622603,35256.321070761616,3133.8952062899216,100.07460231498317,0.0,0.0,0.0,3033.8206039749384,0.0,4190.504582824296,0.0,162676.5395291653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24352.33444702733,0.0,0.0,0.0,3133.8952062899216,138324.20508213798,1.0
Location: Esbjerg,3,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,5347.188561673613,0.0,162769.70777868875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26210.011124168814,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
Fuel: MeOH,4,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,6503.872540522971,0.0,162778.6190919711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26218.92243745117,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
Electrolyser: SOEC,5,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,7660.556519372329,0.0,162786.24274213007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26226.546087610128,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
CO2 capture: None,6,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493562,0.0,8817.240498221685,0.0,162937.9818493628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26378.285194842872,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
CO2taxWTTup: 0,7,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,9973.924477071043,0.0,162941.76101092942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26382.06435640948,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
CO2taxWTTop: 0,8,0.0,0.0,35256.321070761616,3133.8952062899216,0.0,0.0,0.0,0.0,3133.8952062899216,0.0,13107.819683360965,0.0,162906.78164792477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24488.506439610705,0.0,0.0,0.0,3133.8952062899216,138418.27520831407,1.0
CO2WTTop_treshhold -1,9,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.683978849358,0.0,14264.503662210323,3526.818922508139,162889.06159189797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29856.183859886176,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
Renewable criterion: None,10,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,15421.187641059681,17242.225843373126,162890.2216279961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43572.750816849286,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
Renewable application: 0,11,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493562,0.0,16577.871619909038,22140.585457967765,162911.34323353096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48492.23203697879,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,12,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,17734.555598758398,16458.488305037983,162939.49528429433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42838.28693481238,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,13,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,18891.239577607757,18417.832150875838,162891.72101495345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44749.85651130935,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,14,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,20047.923556457117,10580.456767524418,162945.04729747586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36965.80741048034,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,15,0.0,0.0,35256.321070761616,3133.8952062899216,0.0,0.0,0.0,0.0,3133.8952062899216,0.0,23181.81876274704,2939.0157687567826,162945.04729747586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27465.787857918578,0.0,0.0,0.0,3133.8952062899216,138418.27520831407,1.0
 ,16,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493526,0.0,24338.502741596392,0.0,162945.04729747586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26385.35064295592,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,17,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,25495.186720445752,0.0,162945.04729747586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26385.35064295592,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,18,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,26651.870699295112,0.0,162945.04729747586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26385.35064295592,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,19,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,27808.554678144472,0.0,162945.04729747586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26385.35064295592,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,20,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,28965.23865699383,0.0,162911.84356759148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26352.14691307154,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,21,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,30121.92263584319,0.0,162902.29344171198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26342.596787192044,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,22,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493598,0.0,31278.60661469255,0.0,162837.40106252139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26277.704408001446,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,23,0.0,0.0,35256.321070761616,3133.8952062899216,0.0,0.0,0.0,0.0,3133.8952062899216,0.0,34412.50182098245,0.0,162673.66338350176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24255.38817518769,0.0,0.0,0.0,3133.8952062899216,138418.27520831407,1.0
 ,24,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,35569.18579983181,0.0,162671.92151389582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26112.224859375885,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
