Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
Base-case,Biomass wheat 2,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,2.6456941122405797,0.0,0.0,0.0,0.0,0.0,0.0,1.6889600000000782,1.6889600000000782,18.200000000001427,0.0,0.0,0.0,0.0,0.0,0.09279999999999702,0.8725395901731746,6879.1021289253085,0.03270909101768681,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Sale of biochar,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.5087873292770345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41475000000003454,3.4999999999997993,-0.41475000000003454,0.0,0.0,0.0,0.0,-0.11850000000001666,0.8725395901731746,6879.1021289253085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Wheat2-stage-SOEC,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.4536780836486702,17.6095801064841,1.649643963993257,1.6965150075221807,0.04049372225879793,0.0,0.0,0.0,3.3866526937742356,9.999999999999858,0.0,6.399999999999807,1.0313283109251266,35.81001079601133,128.91603886564081,0.33866526937742836,0.8725395901731746,6879.1021289253085,0.09325075706961232,0.0,9.059658615302377,0.0,0.0,0.0,0.008133980001124716,51.948087604247775
Base-case,Desalination plant,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,3.529275209528336,0.4744545835177324,0.05543031308518557,0.01423363750553197,0.0,0.0,0.0,0.0,0.06966395059071753,17.132735474893245,0.0,0.11564596445553972,0.0,0.0,0.0,0.004066131219547801,0.6157360316418757,4854.4628734645485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Electrolysers SOEC heat integrated,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.31371335195807437,12.418022457280491,1.0989400404673002,1.061740920097482,0.0,0.0,0.0,0.0,2.1606809605647825,1.5229098199905282,0.0,52.08351584367471,0.0,0.0,0.0,1.4187845742423677,0.6157360316418757,4854.4628734645485,0.13152343215097703,0.0,0.0,0.0,0.004999335976803874,1.7358805475013696e-5,0.0,51.948087604247775
Base-case,H2 pipeline to Wheat-2,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.22125998229051297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.522070015220653,0.0,0.0,0.0,0.0,0.0,0.0,0.8725395901731746,6879.1021289253085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Heat from district heating,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Heat sent to district heating,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,2.4131056188567923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33199999999997853,16.59999999999972,-0.33199999999997853,0.0,0.0,0.0,0.0,-0.019999999999999043,0.8725395901731746,6879.1021289253085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Heat sent to other process,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.5990458920135373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3684999999999486,10.99999999999893,-0.3684999999999486,0.0,0.0,0.0,0.0,-0.033499999999998586,0.8725395901731746,6879.1021289253085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
Base-case,Sale of oxygen,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,2.509706815664595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.183278559924226,0.0,0.0,0.0,0.0,0.0,0.0,0.6157360316418757,4854.4628734645485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.948087604247775
