Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: MeOH Biogas AEC - Bench fuel,1,1762.0079707898922,2214.545537058334,752.25810536016,66.86738714312534,66.86738714312534,0.0,379.5392894243794,0.0,534.9390971450027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.8765249910425,0.0,0.0,0.0,0.0,0.0,66.86738714312536,3331.876524991043,1.0
Profile: 2019,2,1366.6064626182472,1717.592821869928,583.4484323480624,51.86208287538332,51.86208287538332,0.0,294.3691824006757,0.0,414.8966630030666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2584.1903482749603,0.0,0.0,0.0,0.0,0.0,51.86208287538334,2584.1903482749603,1.0
Location: Bornholm,3,2116.015883574818,2659.473514875454,903.3955157288037,80.30182362033811,80.30182362033811,0.0,455.79315086903904,0.0,642.4145889627049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001.2893050821604,0.0,0.0,0.0,0.0,0.0,80.30182362033813,4001.289305082161,1.0
Fuel: MeOH,4,2683.787733472726,3373.0665502662673,1145.7956555696128,101.84850271729891,101.84850259425463,0.0,578.0921014233886,0.0,814.7880217383913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.91992446041,0.0,0.0,0.0,0.0,0.0,101.84850271729891,5074.91992446041,1.0
Electrolyser: AEC,5,3719.7794136251655,4675.132596359497,2275.4590910907364,202.26303031917658,141.1639074631413,0.0,1148.044960091646,0.0,1618.1042425534126,61.09912285603525,0.0,61.09912285603525,0.0,0.0,0.0,0.0,10135.820733107394,0.0,0.0,0.0,0.0,0.0,202.26303031917658,10135.820733107392,1.0
CO2 capture: Biogas,6,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,141.1598668576606,0.0,0.0,0.0,0.0,11098.46668562935,0.0,0.0,-3.4647417210397264e-12,0.0,-3.4647417210397264e-12,221.22465146476665,11098.466685629352,1.0
CO2taxWTTup: 0,7,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,221.22061085928596,0.0,0.0,0.0,0.0,11098.46668562935,0.0,0.0,0.0,3.0946005991656996e-12,-6.559342320205426e-12,221.22465146476665,11098.466685629353,1.0
CO2taxWTTop: 0,8,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162521,0.0,301.28135486091116,0.0,0.0,0.0,0.0,11098.46668562935,0.0,0.0,0.0,3.0946005991656996e-12,-9.653942919371126e-12,221.22465146476665,11098.466685629352,1.0
CO2WTTop_treshhold -1,9,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,381.34209886253655,0.0,0.0,0.0,0.0,11098.46668562935,0.0,0.0,-1.2888412698545427e-10,-1.385380699048254e-10,0.0,221.22465146476665,11098.466685629339,1.0
Renewable criterion: None,10,0.0,0.0,2488.7773289786246,221.22465146476665,0.0,0.0,1255.6711217140153,0.0,1769.7972117181332,221.22465146476665,0.0,602.5667503273032,482.0269490780074,0.0,0.0,0.0,11098.46668562935,0.0,349.33287606265094,0.0,0.0,0.0,221.22465146476665,11231.160758644704,1.0
Renewable application: 0,11,0.0,0.0,2488.7773289786246,221.22465146476665,0.0,0.0,1255.6711217140153,0.0,1769.7972117181332,221.22465146476665,0.0,823.7914017920699,1370.7641364405836,0.0,0.0,0.0,11098.46668562935,0.0,1238.070063425229,0.0,0.0,0.0,221.22465146476665,11231.160758644704,1.0
 ,12,0.0,0.0,2488.7773289786246,221.22465146476665,0.0,0.0,1255.6711217140153,0.0,1769.7972117181332,221.22465146476665,0.0,1045.0160532568366,753.1671079343866,0.0,0.0,0.0,11098.46668562935,0.0,620.4730349190302,0.0,0.0,0.0,221.22465146476665,11231.160758644704,1.0
 ,13,0.0,0.0,2488.7773289786246,221.22465146476665,0.0,0.0,1255.6711217140153,0.0,1769.7972117181332,221.22465146476665,0.0,1266.2407047216032,617.597028506197,0.0,0.0,0.0,11098.46668562935,0.0,484.9029554908424,0.0,0.0,0.0,221.22465146476665,11231.160758644704,1.0
 ,14,0.0,0.0,2488.7773289786246,221.22465146476665,0.0,0.0,1255.6711217140153,0.0,1769.7972117181332,221.22465146476665,0.0,1487.46535618637,361.52021180850556,0.0,0.0,0.0,11098.46668562935,0.0,228.8261387931509,0.0,0.0,0.0,221.22465146476665,11231.160758644704,1.0
 ,15,0.0,0.0,2488.7773289786246,221.22465146476665,0.0,0.0,1255.6711217140153,0.0,1769.7972117181332,221.22465146476665,0.0,1708.6900076511365,256.07681669769147,0.0,0.0,0.0,11098.46668562935,0.0,123.38274368232953,7.658902751772027e-12,0.0,7.658902751772027e-12,221.22465146476665,11231.160758644706,1.0
