Informations,Time,MeOH-straw,Biomass wood,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: MeOH Biomass,1,2189.911331033565,2533.727410005835,1800.9139235473394,160.0812376486524,160.08123764865243,0.0,1843.6298538003678,0.0,1280.6499011892192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6641.728768839563,0.0,0.0,0.0,0.0,0.0,160.08123764865243,6641.728768839564,1.0
Profile: 2019,2,1698.4866284173374,1965.1490290788595,1396.7817667905736,124.1583792702732,124.1583792702732,0.0,1429.9120745464284,0.0,993.2670341621856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5151.298750586646,0.0,0.0,0.0,0.0,0.0,124.1583792702732,5151.298750586646,1.0
Location: Bornholm,3,2629.8900100946566,3042.782741679518,2162.738495143632,192.24342179054506,192.24342179054509,0.0,2214.0365530386607,0.0,1537.9473743243605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7976.1293945566285,0.0,0.0,0.0,0.0,0.0,192.2434217905451,7976.12939455663,1.0
Fuel: MeOH,4,3335.545169007646,3859.2257605418467,2743.0470139865506,243.82640124324897,243.826401243249,0.0,2808.109426686114,0.0,1950.6112099459917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10116.293748891676,0.0,0.0,0.0,0.0,0.0,243.82640124324897,10116.293748891676,1.0
Electrolyser: SOEC,5,5118.155964028241,5921.706450380675,5401.53277492074,480.13624665962135,374.1342078968013,0.0,4308.843466842741,0.0,3841.089973276971,106.0020387628202,0.0,106.0020387628202,0.0,0.0,0.0,0.0,20204.64193494111,0.0,0.0,0.0,0.0,0.0,480.13624665962146,20204.64193494111,1.0
CO2 capture: Biomass,6,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,255.4500840858152,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,0.0,523.5822532197965,22123.570583441742,1.0
CO2taxWTTup: 0,7,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,404.8981294088104,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,0.0,523.5822532197965,22123.570583441742,1.0
CO2taxWTTop: 0,8,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,554.3461747318056,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,0.0,523.5822532197965,22123.570583441742,1.0
CO2WTTop_treshhold -1,9,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,703.7942200548007,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,0.0,523.5822532197965,22123.570583441742,1.0
Renewable criterion: None,10,4997.137484151082,5781.688069162802,6170.560279877991,548.4942471002659,365.2878277888218,0.0,4206.961130694561,0.0,4387.953976802127,183.20641931144405,0.0,887.0006393662447,1124.0100803437033,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,0.0,548.494247100266,23247.580663785444,1.0
Renewable application: 0,11,0.0,0.0,6170.560279877991,548.4942471002659,0.0,0.0,0.0,0.0,4387.953976802127,548.4942471002659,0.0,1435.4948864665107,3196.403665977406,0.0,0.0,0.0,22123.570583441742,0.0,724.7796556982389,351.64964382426473,0.0,351.64964382426473,548.4942471002659,24243.544949896645,1.0
 ,12,1767.8577730695247,2045.41144344144,6170.560279877991,548.4942471002659,129.22936937642726,0.0,1488.3138515776081,0.0,4387.953976802127,419.2648777238386,0.0,1854.7597641903483,1756.2657505370364,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,548.4942471002659,23879.83633397878,1.0
 ,13,3382.49762861031,3913.549756302129,6170.560279877991,548.4942471002659,247.258598582625,0.0,2847.63749113609,0.0,4387.953976802127,301.23564851764087,0.0,2155.995412707989,1440.1379154403699,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,548.4942471002659,23563.708498882108,1.0
 ,14,5118.155964028241,5921.706450380675,6105.021599690461,542.6685866391521,374.1342078968013,0.0,4308.843466842741,0.0,4341.3486931132165,168.53437874235087,0.0,2324.52979145034,843.0075602577775,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,542.6685866391522,22966.578143699524,1.0
 ,15,5118.155964028241,5921.706450380675,6042.394568158198,537.1017393918398,374.1342078968013,0.0,4308.843466842741,0.0,4296.813915134719,162.96753149503877,0.0,2487.4973229453785,597.1303551825924,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,537.10173939184,22720.700938624337,1.0
 ,16,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,2636.945368268374,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,17,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,2786.3934135913687,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,18,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,2935.841458914364,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,19,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,3085.2895042373593,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,20,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,3234.7375495603546,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,21,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,3384.18559488335,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,22,5118.155964028241,5921.706450380675,5890.300348722708,523.5822532197963,374.1342078968013,0.0,4308.843466842741,0.0,4188.65802575837,149.4480453229952,0.0,3533.6336402063453,0.0,0.0,0.0,0.0,22123.570583441742,0.0,0.0,0.0,0.0,351.64964382426473,523.5822532197965,22123.570583441742,1.0
 ,23,5118.155964028241,5921.706450380675,5787.089720274235,514.4079751354876,374.1342078968013,0.0,4308.843466842741,0.0,4115.263801083901,140.27376723868642,0.0,3673.907407445032,0.0,0.0,0.0,0.0,21718.35992222923,0.0,0.0,0.0,0.0,351.64964382426473,514.4079751354876,21718.35992222923,1.0
 ,24,5118.155964028241,5921.706450380675,5725.993773548989,508.9772243154658,374.1342078968013,0.0,4308.843466842741,0.0,4071.817794523726,134.84301641866452,0.0,3808.750423863696,0.0,0.0,0.0,0.0,21478.49384116665,0.0,0.0,0.0,0.0,351.64964382426473,508.97722431546583,21478.49384116665,1.0
 ,25,5118.155964028241,5921.706450380675,5727.180102611615,509.08267578769915,374.1342078968013,0.0,4308.843466842741,0.0,4072.661406301593,134.94846789089794,0.0,3943.698891754594,0.0,0.0,0.0,0.0,21483.15143497369,0.0,0.0,0.0,0.0,351.64964382426473,509.08267578769915,21483.15143497369,1.0
 ,26,5118.155964028241,5921.706450380675,5711.164660266162,507.6590809125478,374.1342078968013,0.0,4308.843466842741,0.0,4061.2726473003822,133.52487301574655,0.0,4077.2237647703405,0.0,0.0,0.0,0.0,21420.273918578645,0.0,0.0,0.0,0.0,351.64964382426473,507.65908091254784,21420.27391857865,1.0
 ,27,5118.155964028241,5921.706450380675,5221.803921932881,464.1603486162561,374.1342078968013,0.0,4308.843466842741,0.0,3713.282788930049,90.0261407194549,0.0,4167.249905489795,0.0,0.0,0.0,0.0,19499.016473174495,0.0,0.0,0.0,0.0,351.64964382426473,464.16034861625616,19499.0164731745,1.0
 ,28,5118.155964028241,5921.706450380675,4209.009838839013,374.13420789680123,374.1342078968013,0.0,4308.843466842741,0.0,2993.07366317441,0.0,0.0,4167.249905489795,0.0,0.0,0.0,0.0,15386.36114155785,0.0,0.0,0.0,143.54683689702168,208.10280692724305,374.1342078968012,15529.907978454872,1.0
 ,29,5118.155964028241,5921.706450380675,3256.546804335901,289.4708270520801,374.1342078968013,0.0,4308.843466842741,0.0,2315.7666164166408,0.0,84.66338084472108,4082.5865246450744,0.0,0.0,0.0,0.0,11862.891426531813,0.0,0.0,0.0,0.0,208.10280692724305,289.4708270520801,11862.891426531813,1.0
 ,30,2648.3184364427652,3064.1044309642793,2177.8934510220106,193.59052897973427,193.5905289797343,0.0,2229.5509697606835,0.0,1548.7242318378742,0.0,0.0,4082.5865246450744,0.0,0.0,0.0,0.0,8032.020520241112,0.0,0.0,0.0,0.0,208.10280692724305,193.59052897973427,8032.020520241112,1.0
 ,31,1771.4324827119337,2049.5473824977075,1456.7701338091554,129.49067856081382,129.49067856081388,0.0,1491.3233074044351,0.0,1035.9254284865106,0.0,0.0,4082.5865246450744,0.0,0.0,0.0,0.0,5372.534456421063,0.0,0.0,0.0,0.0,208.10280692724305,129.49067856081385,5372.534456421063,1.0
 ,32,1141.7945824848919,1321.05633193502,938.9758079645491,83.46451626351548,83.46451626351549,0.0,961.2474027353251,0.0,667.7161301081238,0.0,0.0,4082.5865246450744,0.0,0.0,0.0,0.0,3462.9209955345127,0.0,0.0,0.0,0.0,208.10280692724305,83.46451626351548,3462.9209955345123,1.0
