Informations,Time,Biomass wheat 2,Biochar,DME-W2,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_Wheat-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: High biochar value,1,0.0,0.0,0.0,2546.0690355131424,226.31724760116822,0.0,0.0,0.0,0.0,1810.5379808093458,226.3172476011682,0.0,226.3172476011682,0.0,0.0,0.0,0.0,7959.1532532938345,0.0,0.0,0.0,0.0,0.0,226.3172476011682,7959.1532532938345,1.0
Profile: 2019,2,0.0,0.0,0.0,1974.7211453559153,175.53076847608136,0.0,0.0,0.0,0.0,1404.246147808651,175.53076847608136,0.0,401.84801607724944,0.0,0.0,0.0,0.0,6173.08800711289,0.0,0.0,0.0,0.0,0.0,175.5307684760814,6173.08800711289,1.0
Location: Bornholm,3,0.0,0.0,0.0,3057.6039434195354,271.7870171928476,0.0,0.0,0.0,0.0,2174.296137542781,271.78701719284754,0.0,673.635033270097,0.0,0.0,0.0,0.0,9558.239794015211,0.0,0.0,0.0,0.0,0.0,271.78701719284754,9558.239794015211,1.0
Fuel: DME,4,0.0,0.0,0.0,3878.023804442178,344.71322706152694,0.0,0.0,0.0,0.0,2757.7058164922155,344.7132270615269,0.0,1018.3482603316239,0.0,0.0,0.0,0.0,12122.917858453162,0.0,0.0,0.0,0.0,0.0,344.7132270615269,12122.917858453162,1.0
Electrolyser: SOEC,5,0.0,0.0,0.0,7745.334835943907,688.4742076394584,0.0,0.0,0.0,0.0,5507.793661115667,688.4742076394585,0.0,1706.8224679710825,0.0,0.0,0.0,0.0,24212.346993540432,0.0,0.0,0.0,0.0,0.0,688.4742076394584,24212.346993540432,1.0
CO2 capture: W2,6,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,1905.4167867025321,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,0.0,706.6929391867216,26511.905997998394,1.0
CO2taxWTTup: 0,7,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,2104.011105433982,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,0.0,706.6929391867216,26511.905997998394,1.0
CO2taxWTTop: 0,8,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,2302.605424165429,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,0.0,706.6929391867216,26511.905997998394,1.0
CO2WTTop_treshhold -1,9,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,2501.199742896879,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,0.0,706.6929391867216,26511.905997998394,1.0
Renewable criterion: None,10,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,2719.073811688468,1449.885257694823,0.0,0.0,0.0,26511.905997998394,0.0,0.0,735.097712010536,0.0,735.097712010536,725.9726892468615,27226.693543682683,1.0
Renewable application: 0,11,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,2936.9478804800574,4123.111201569653,0.0,0.0,0.0,26511.905997998394,0.0,0.0,3281.0271823675153,0.0,4016.124894378051,725.9726892468615,27353.99001720053,1.0
 ,12,0.0,0.0,0.0,8167.192754027192,725.9726892468615,0.0,0.0,0.0,0.0,5807.781513974892,725.9726892468615,0.0,3662.920569726919,2265.445715148161,0.0,0.0,0.0,26511.905997998394,0.0,0.0,3091.669934406451,0.0,7107.794828784502,725.9726892468615,25685.681778740105,1.0
 ,13,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,3880.7946385185082,1857.665486421492,0.0,0.0,0.0,26511.905997998394,0.0,0.0,1123.4598346072084,0.0,8231.25466339171,725.9726892468661,27246.111649812676,1.0
 ,14,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,4098.6687073100975,1087.4139432711172,0.0,0.0,0.0,26511.905997998394,0.0,0.0,389.88693636890923,0.0,8621.14159976062,725.9726892468615,27209.433004900602,1.0
 ,15,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,4316.542776101687,770.2515431503748,0.0,0.0,0.0,26511.905997998394,0.0,0.0,87.82750768248835,0.0,8708.969107443108,725.9726892468615,27194.330033466278,1.0
 ,16,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,4515.137094833137,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,17,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,4713.731413564587,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,18,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,4912.325732296034,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,19,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,5110.920051027484,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,20,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,5309.514369758934,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,21,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,5508.108688490383,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,22,6075.538444231871,1168.3727777368981,3338.2079363911375,7950.295565850617,706.6929391867216,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5653.5435134937725,198.59431873144956,0.0,5706.703007221833,0.0,0.0,0.0,0.0,26511.905997998394,0.0,0.0,0.0,0.0,8708.969107443108,706.6929391867216,26511.905997998394,1.0
 ,23,6075.538444231871,1168.3727777368981,3338.2079363911375,7794.960358214119,692.8853651745884,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5543.082921396707,184.78674471931654,0.0,5891.48975194115,0.0,0.0,0.0,0.0,26026.319509192952,0.0,0.0,0.0,0.0,8708.969107443108,692.8853651745885,26026.319509192952,1.0
 ,24,6075.538444231871,1168.3727777368981,3338.2079363911375,7703.009057141941,684.7119161903948,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5477.695329523159,176.61329573512293,0.0,6068.103047676273,0.0,0.0,0.0,0.0,25738.874633635707,0.0,0.0,0.0,0.0,8708.969107443108,684.711916190395,25738.874633635707,1.0
 ,25,781.4275372482775,150.27452639389952,429.35578969685577,8167.192754027192,725.9726892468615,65.3509573358989,0.0,712.7306108967805,472.29136866654136,5807.781513974892,660.6217319109626,0.0,6728.724779587235,0.0,0.0,0.0,0.0,25744.456087530023,0.0,0.0,0.0,0.0,8708.969107443108,725.9726892468615,25744.456087530027,1.0
 ,26,6075.538444231871,1168.3727777368981,3338.2079363911375,7680.690780182675,682.7280693495711,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5461.824554796569,174.62944889429914,0.0,6903.354228481535,0.0,0.0,0.0,0.0,25669.10645995676,0.0,0.0,0.0,0.0,8708.969107443108,682.7280693495711,25669.10645995676,1.0
 ,27,6075.538444231871,1168.3727777368981,3338.2079363911375,6944.187640526875,617.2611236023889,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,4938.088988819111,109.16250314711701,0.0,7012.516731628654,0.0,0.0,0.0,0.0,23366.75672855164,0.0,0.0,0.0,0.0,8708.969107443108,617.261123602389,23366.75672855164,1.0
 ,28,0.0,0.0,0.0,5898.274234794998,524.2910430928887,0.0,0.0,0.0,0.0,4194.3283447431095,524.2910430928886,0.0,7536.807774721543,0.0,0.0,0.0,0.0,18438.332939871096,0.0,0.0,0.0,0.0,8708.969107443108,524.2910430928887,18438.3329398711,1.0
 ,29,4422.9253120631765,850.5625600121492,2430.178742891855,4161.2649707052315,369.89021961824284,369.8902196182428,0.0,4034.0967132004794,2673.196617181041,2959.1217569459427,0.0,0.0,7536.807774721543,0.0,0.0,0.0,0.0,14215.963068821455,0.0,0.0,0.0,0.0,8708.969107443108,369.89021961824284,14215.963068821457,1.0
 ,30,0.0,0.0,0.0,3079.02948930043,273.69151016003826,0.0,0.0,0.0,0.0,2189.532081280306,273.69151016003826,0.0,7810.499284881581,0.0,0.0,0.0,0.0,9625.217240746997,0.0,0.0,0.0,0.0,8708.969107443108,273.6915101600383,9625.217240746997,1.0
 ,31,2003.0798380309677,385.20766115980143,1100.5933175994328,1884.5775986291655,167.51800876703695,167.51800876703695,0.0,1826.9849072150585,1210.6526493593763,1340.1440701362956,0.0,0.0,7810.499284881581,0.0,0.0,0.0,0.0,6438.207067092873,0.0,0.0,0.0,0.0,8708.969107443108,167.51800876703695,6438.207067092873,1.0
 ,32,1291.1052098621801,248.2894634350346,709.3984669572418,1214.723402324044,107.97541353991502,107.97541353991504,0.0,1177.6014551490214,780.338313652966,863.8033083193202,0.0,0.0,7810.499284881581,0.0,0.0,0.0,0.0,4149.8109704235385,0.0,0.0,0.0,0.0,8708.969107443108,107.975413539915,4149.810970423538,1.0
 ,33,0.0,0.0,0.0,1306.6963464157402,116.15078634806581,0.0,0.0,0.0,0.0,929.2062907845265,116.15078634806578,0.0,7926.6500712296465,135.92674290888965,0.0,0.0,0.0,3948.878630228182,0.0,0.0,0.0,0.0,8708.969107443108,116.1507863480658,4084.8053731370715,1.0
 ,34,0.0,0.0,0.0,2526.5979846133173,224.58648752118376,0.0,0.0,0.0,0.0,1796.69190016947,224.58648752118376,0.0,8151.23655875083,2537.29920096594,0.0,0.0,0.0,5360.986465489991,0.0,0.0,0.0,0.0,8708.969107443108,224.58648752118378,7898.285666455932,1.0
 ,35,3030.71310543203,582.8294433523134,1665.2269810066098,2851.4160633674824,253.4592056326651,253.4592056326651,0.0,2764.276788470972,1831.7496791072708,2027.6736450613207,0.0,0.0,8151.23655875083,4530.891430296322,0.0,0.0,0.0,5210.287210343475,0.0,0.0,0.0,0.0,8708.969107443108,253.45920563266512,9741.178640639797,1.0
 ,36,0.0,0.0,0.0,3419.339528954261,303.941291462601,0.0,0.0,0.0,0.0,2431.530331700808,303.94129146260093,0.0,8455.177850213431,4848.053830417064,0.0,0.0,0.0,5840.991500401121,0.0,0.0,0.0,0.0,8708.969107443108,303.94129146260104,10689.045330818188,1.0
 ,37,0.0,0.0,0.0,3485.718762461797,309.84166777438196,0.0,0.0,0.0,0.0,2478.7333421950557,309.841667774382,0.0,8765.019517987814,5301.1429734466965,0.0,0.0,0.0,5595.407529051241,0.0,0.0,0.0,0.0,8708.969107443108,309.84166777438196,10896.550502497937,1.0
 ,38,3836.359449982938,737.7614326890264,2107.8898076829328,3609.4003556214593,320.83558716635196,320.835587166352,0.0,3499.0970807536683,2318.6787884512264,2566.6846973308157,0.0,0.0,8765.019517987814,4893.362744720028,0.0,0.0,0.0,7437.28731417534,0.0,0.0,0.0,0.0,8708.969107443108,320.83558716635196,12330.650058895368,1.0
 ,39,0.0,0.0,0.0,3937.0062143173495,349.95610793931996,0.0,0.0,0.0,0.0,2799.6488635145597,349.95610793931996,0.0,9114.975625927134,2129.518972239271,0.0,0.0,0.0,10177.781176284227,0.0,0.0,0.0,0.0,8708.969107443108,349.95610793932,12307.3001485235,1.0
 ,40,3283.970403463764,631.5327698968777,1804.3793425625076,3089.6906550727863,274.63916933980323,274.6391693398033,0.0,2995.2697086537623,1984.8172768187585,2197.113354718426,0.0,0.0,9114.975625927134,45.30891430296322,0.0,0.0,0.0,10509.877682995995,0.0,0.0,0.0,0.0,8708.969107443108,274.63916933980323,10555.186597298958,1.0
 ,41,0.0,0.0,0.0,3371.8452830060087,299.7195807116452,0.0,0.0,0.0,0.0,2397.7566456931618,299.7195807116453,0.0,9414.695206638778,0.0,0.0,0.0,0.0,10540.575679414731,0.0,0.0,0.0,0.0,8708.969107443108,299.7195807116453,10540.575679414731,1.0
 ,42,3789.9625023862914,728.8389427665944,2082.396979333127,3565.7482522827513,316.9554002029112,316.9554002029113,0.0,3456.778985692991,2290.63667726644,2535.6432016232898,0.0,0.0,9414.695206638778,0.0,0.0,0.0,0.0,12181.523124343474,0.0,0.0,0.0,0.0,8708.969107443108,316.9554002029112,12181.523124343474,1.0
