Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Base-case,1,0.0,0.0,35256.32107076209,3133.895206289964,0.0,0.0,0.0,0.0,3133.895206289964,0.0,3133.895206289964,0.0,162640.19855555953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24221.92334724363,0.0,0.0,0.0,3133.895206289964,138418.2752083159,1.0
Profile: 2019,2,42117.147013931615,52934.11919783754,35256.32107076209,3133.895206289964,1598.3262399669993,0.0,0.0,0.0,1535.5689642904604,0.0,4669.464170580424,0.0,162676.53952916825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25760.690988331888,0.0,0.0,0.0,3133.895206289964,136915.84854083636,1.0
Location: Esbjerg,3,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,5826.148149429798,0.0,162769.7077786917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26210.01112416995,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
Fuel: MeOH,4,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,6982.832128279171,0.0,162778.61909197405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26218.922437452304,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
Electrolyser: SOEC,5,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493726,0.0,8139.516107128544,0.0,162786.24274213304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26226.546087611292,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
CO2 capture: None,6,0.0,0.0,35256.32107076209,3133.895206289964,0.0,0.0,0.0,0.0,3133.895206289964,0.0,11273.411313418508,0.0,162937.98184936578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24519.70664104988,0.0,0.0,0.0,3133.895206289964,138418.2752083159,1.0
CO2taxWTTup: 0,7,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493726,0.0,12430.09529226788,0.0,162941.76101093236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26382.064356410614,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
CO2taxWTTop: 0,8,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,13586.779271117255,0.0,162906.78164792774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26347.084993405995,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
CO2WTTop_treshhold -1,9,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,14743.46324996663,3526.8189225081464,162889.0615919009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29856.18385988732,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
Renewable criterion: None,10,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,15900.147228816004,17242.225843373162,162890.22162799904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43572.75081685046,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
Renewable application: 0,11,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,17056.83120766538,22140.58545796781,162911.34323353393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48492.23203698,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,12,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493744,0.0,18213.515186514753,16458.48830503802,162939.49528429727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42838.28693481354,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,13,0.0,0.0,35256.32107076209,3133.895206289964,0.0,0.0,0.0,0.0,3133.895206289964,0.0,21347.410392804715,18417.832150875878,162891.7210149564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42891.27795751637,0.0,0.0,0.0,3133.895206289964,138418.2752083159,1.0
 ,14,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493744,0.0,22504.09437165409,10580.45676752444,162945.04729747883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36965.807410481524,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,15,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,23660.778350503464,2939.015768756789,162945.04729747883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29324.366411713872,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
