Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
High biomass price,Biomass wheat 2,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,6.075522179798433,0.0,0.0,0.0,0.0,0.0,0.0,5.869135999999524,5.869135999999524,44.47999999999644,0.0,0.0,0.0,0.0,0.0,0.13194999999999987,0.8689829559188865,7321.181403616619,0.030733998415042162,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Sale of biochar,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1.168369649961237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0136307692307898,8.5538461538472,-1.0136307692307898,0.0,0.0,0.0,0.0,-0.1184999999999879,0.8689829559188865,7321.181403616619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Wheat2-stage-SOEC,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,3.338198999889249,40.43830842684839,3.78821136035407,3.8958451428207486,0.09896487725667444,0.0,0.0,0.0,7.783021380431493,24.439560439560424,0.0,15.64131868131857,1.0515949560640432,36.513713752223715,131.4493695080054,0.31845995756261974,0.8689829559188865,7321.181403616619,0.08761994084241684,0.0,8.243390523237444,0.0,0.0,0.0,0.007904314065161368,50.927520645710224
High biomass price,Desalination plant,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,8.16708573401423,1.0979340035664693,0.12827113000645315,0.03293802010699408,0.0,0.0,0.0,0.0,0.16120915011344722,41.872850105922694,0.0,0.28264173821499156,0.0,0.0,0.0,0.0038499684092591787,0.6085489232089595,5127.024678035484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Electrolysers SOEC heat integrated,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.7259631763568206,28.73651048286422,2.5430540250322315,2.456971646284891,0.0,0.0,0.0,0.0,5.000025671317123,3.7220311205263923,0.0,127.29346432200754,0.0,0.0,0.0,1.3433594479484063,0.6085489232089595,5127.024678035484,0.12453497327515879,0.0,0.0,0.0,0.011568949178422295,1.6436450452707046e-5,0.0,50.927520645710224
High biomass price,H2 pipeline to Wheat-2,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.5080972602571154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719872213023521,0.0,0.0,0.0,0.0,0.0,0.0,0.8689829559188865,7321.181403616619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Heat from district heating,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Heat sent to district heating,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,5.541410339816153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.811393406593418,40.569670329675134,-0.811393406593418,0.0,0.0,0.0,0.0,-0.019999999999997912,0.8689829559188865,7321.181403616619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Heat sent to other process,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,3.672018899878174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.900597802197796,26.883516483515262,-0.900597802197796,0.0,0.0,0.0,0.0,-0.03350000000000129,0.8689829559188865,7321.181403616619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,Sale of oxygen,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,5.807705410854565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77624896421114,0.0,0.0,0.0,0.0,0.0,0.0,0.6085489232089595,5127.024678035484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,H2 pipes compressor,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,31.40528531251202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0659459678521928,0.0,1.9419892097811422,0.0,0.0,0.0,0.0,0.007808116887885325,65.78338478043386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
High biomass price,H2 pipes valve,2030 bench,Bornholm,2019,DME-W2,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,31.913382572769137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063787060348397,0.0,0.0,0.0,0.0,0.0,0.0,0.0076757732562536185,64.66838968393674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.927520645710224
