Hour,Year,Zone,Price [Eur/MWh]
1,2030,DE4-N,21.175893833182
2,2030,DE4-N,20.9898366635638
3,2030,DE4-N,20.6391909674999
4,2030,DE4-N,13.9127495404313
5,2030,DE4-N,21.175868283182
6,2030,DE4-N,22.604713571581
7,2030,DE4-N,25.1533125634643
8,2030,DE4-N,26.9701820342574
9,2030,DE4-N,28.2345251109093
10,2030,DE4-N,28.1565125038868
11,2030,DE4-N,28.1565125038868
12,2030,DE4-N,27.802334683691
13,2030,DE4-N,27.8011235158603
14,2030,DE4-N,27.9780500699447
15,2030,DE4-N,28.1565125038868
16,2030,DE4-N,28.2345251109093
17,2030,DE4-N,28.2345251109093
18,2030,DE4-N,28.2345251109093
19,2030,DE4-N,26.8735374585783
20,2030,DE4-N,26.5028290203193
21,2030,DE4-N,26.225968103886
22,2030,DE4-N,26.1340732176234
23,2030,DE4-N,24.9410621943237
24,2030,DE4-N,23.5874605307899
25,2030,DE4-N,22.3742891306754
26,2030,DE4-N,21.9484099463349
27,2030,DE4-N,21.7442769261374
28,2030,DE4-N,21.7376893729151
29,2030,DE4-N,21.9651346649635
30,2030,DE4-N,23.5874605307899
31,2030,DE4-N,25.8239426095574
32,2030,DE4-N,26.645758463548
33,2030,DE4-N,26.9146792382746
34,2030,DE4-N,25.3699735622417
35,2030,DE4-N,25.1425466651414
36,2030,DE4-N,24.3418209976054
37,2030,DE4-N,25.1425466651414
38,2030,DE4-N,24.4814739735663
39,2030,DE4-N,23.5791067858983
40,2030,DE4-N,25.6055654884129
41,2030,DE4-N,25.8239426095574
42,2030,DE4-N,25.8239426095574
43,2030,DE4-N,25.8239426095574
44,2030,DE4-N,25.8239426095574
45,2030,DE4-N,25.6055654884129
46,2030,DE4-N,24.6789485227665
47,2030,DE4-N,22.5157090839733
48,2030,DE4-N,18.1655744818931
49,2030,DE4-N,8.84974882329578
50,2030,DE4-N,8.75820136946985
51,2030,DE4-N,8.70423716535441
52,2030,DE4-N,8.70423716535441
53,2030,DE4-N,8.84974882329578
54,2030,DE4-N,18.8139979842869
55,2030,DE4-N,23.6975460562583
56,2030,DE4-N,25.8239426095574
57,2030,DE4-N,25.8239426095574
58,2030,DE4-N,25.8239426095574
59,2030,DE4-N,24.0696957587625
60,2030,DE4-N,21.6391182290518
61,2030,DE4-N,20.5415778926303
62,2030,DE4-N,21.9622762677797
63,2030,DE4-N,25.1892390477876
64,2030,DE4-N,25.8239426095574
65,2030,DE4-N,25.8239426095574
66,2030,DE4-N,25.8239426095574
67,2030,DE4-N,25.8239426095574
68,2030,DE4-N,25.8239426095574
69,2030,DE4-N,25.8239426095574
70,2030,DE4-N,24.9636967035905
71,2030,DE4-N,24.2819487121242
72,2030,DE4-N,18.9018053044498
73,2030,DE4-N,17.9892237346772
74,2030,DE4-N,8.82523876086577
75,2030,DE4-N,8.8395127096
76,2030,DE4-N,13.9127495404313
77,2030,DE4-N,18.9638439255075
78,2030,DE4-N,22.0029329547288
79,2030,DE4-N,25.50135006068
80,2030,DE4-N,25.8239426095574
81,2030,DE4-N,26.2934129127585
82,2030,DE4-N,25.899888474321
83,2030,DE4-N,25.899888474321
