Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
Morocco - onshore,NH3 plant + ASU - SOEC,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,60.03009675493329,399.93010939684643,41.84236792178979,15.997204375873858,0.0,0.0,0.0,0.0,57.83957229766364,425.8064516129109,0.0,251.22580645164123,0.6288279458526603,33.80795407810002,121.70863468116006,0.1358353591839046,0.8419247652321764,7093.216147081086,0.17216221577129776,0.0,9.675831132068117,0.0,0.0,0.0,0.012069890824750606,33.15632383999808
Morocco - onshore,Waste water plant,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,127.91107659869073,13.757133041886897,1.6072395929079306,0.4127139912566069,0.0,0.0,0.0,0.05604877127459194,2.076002355439129,862.2887888398641,0.0,2.1557219720998404,0.0,0.0,0.0,0.0024075488192676297,0.8001560176650538,6741.314448828079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,Electrolysers SOEC heat integrated,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,11.369873475439176,450.06482278545394,47.08767222364223,38.48054234815632,0.0,0.0,0.0,0.0,85.56821457179855,76.6478923413234,0.0,2904.955119735762,0.0,0.0,0.0,1.116380528648482,0.8001560176650538,6741.314448828079,0.1733377154397154,0.0,0.0,0.0,0.18119030370459874,2.2877563599065083e-5,0.0,33.15632383999808
Morocco - onshore,H2 pipeline to NH3 plant,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,10.805417415887993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6451612903239,0.0,0.0,0.0,0.0,0.0,0.0,0.8419247652321764,7093.216147081086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,Heat from district heating,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,Heat sent to district heating,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,Heat sent to other process,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,Sale of oxygen,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,90.95898780351341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.1831387305872,0.0,0.0,0.0,0.0,0.0,0.0,0.8001560176650538,6741.314448828079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,H2 pipes compressor,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,136.27851152056374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303321254259375,0.0,4.0451219790038975,0.0,0.0,0.0,0.0,0.0037480595079355124,31.57740135435669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,H2 pipes valve,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,139.10079181831964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300590203263502,0.0,0.0,0.0,0.0,0.0,0.0,0.003669682996075886,30.917079241939337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,H2 buried pipes,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,30.34501106328001,7.586252765820003,0.7168058970711734,0.2275875829746001,0.0,0.0,0.0,0.0,0.9443934800457735,151.87717966422045,0.0,0.0,0.0,0.0,0.0,0.006218139434335675,0.5940668437297918,5005.013158423496,2.3854834174062527e-5,0.0,0.0,0.0,0.030345011063280015,3.831440790818114e-6,0.0,33.15632383999808
Morocco - onshore,Solar fixed,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15632383999808
Morocco - onshore,Solar tracking,2030 bench,Morocco,2020ma,NH3,SOEC,All,0.0,0.0,C1_E0,-1.0,None,0.0,505.86207429400196,232.1034814793387,22.30543688976275,4.694820420832078,0.0,0.0,0.0,0.0,27.000257310594826,1221.9341218367288,0.0,0.0,0.0,0.0,0.0,0.02209632813102057,0.2867119287833833,2415.5480000000043,5.785784401628822,0.0,0.0,0.0,8.058382843503452,0.0010174725812504173,0.0,33.15632383999808
