Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Bornholm - bp sale,1,59965.99150810199,121431.13280390654,10793.87847145836,10793.87847145836,0.0,61266.05420399764,0.0,86351.02777166688,0.0,0.0,0.0,0.0,564823.4218892821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10793.878471458362,564823.4218892821,1.0
Profile: 2020,2,65705.50814297517,133053.6539895247,11826.99146573553,11826.991465735531,0.0,67130.00355951485,0.0,94615.93172588423,0.0,0.0,0.0,0.0,618884.2877929421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11826.991465735531,618884.2877929421,1.0
Location: Bornholm,3,67788.07581083714,137270.8535169452,12201.853645950687,12201.853645950685,0.0,69257.72129441609,0.0,97614.8291676055,0.0,0.0,0.0,0.0,638500.1228170133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201.853645950689,638500.1228170133,1.0
Fuel: NH3,4,75472.75667865906,169154.39453785092,15035.946181142306,13585.096202158631,0.0,85344.03052416373,0.0,120287.56944913845,1450.8499789836749,0.0,1450.8499789836749,0.0,784539.5452928728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15035.946181142308,784539.5452928727,1.0
Electrolyser: AEC,5,75460.69353453912,152807.90440744173,13582.924836217044,13582.924836217044,0.0,77096.68137036794,0.0,108663.39868973635,0.0,0.0,1450.8499789836749,0.0,710768.9886951699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13582.924836217044,710768.9886951699,1.0
CO2 capture: None,6,75472.75667865906,170360.67947857882,15143.171509207008,13585.096202158631,0.0,85952.64148625897,0.0,121145.37207365606,1558.0753070483752,0.0,3008.9252860320503,0.0,789983.1741512275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15143.171509207006,789983.1741512273,1.0
CO2taxWTTup: 0,7,75472.75667865906,184777.74891031155,16424.688792027693,13585.096202158631,0.0,93226.53358354917,0.0,131397.51033622155,2839.592589869062,0.0,5848.517875901112,0.0,863753.7307489302,0.0,0.0,0.0,7493.786117240088,1158.6103586302124,0.0,1158.6103586302124,16424.688792027693,855101.3342730599,1.0
CO2taxWTTop: 0,8,75472.75667865906,184777.74891031155,16424.688792027693,13585.096202158631,0.0,93226.53358354917,0.0,131397.51033622155,2839.592589869062,0.0,8688.110465770174,0.0,871356.0400166325,0.0,0.0,0.0,0.0,15535.844058575374,0.0,16694.454417205587,16424.688792027693,855820.1959580572,1.0
CO2WTTop_treshhold -1,9,75472.75667865906,184777.74891031155,16424.688792027693,13585.096202158631,0.0,93226.53358354917,0.0,131397.51033622155,2839.592589869062,0.0,11527.703055639236,0.0,874922.5554755545,0.0,0.0,0.0,0.0,18932.525448024917,0.0,35626.9798652305,16424.688792027693,855990.0300275297,1.0
Renewable criterion: None,10,75472.75667865906,184777.74891031155,16424.688792027693,13585.096202158631,0.0,93226.53358354917,0.0,131397.51033622155,2839.5925898690784,0.0,14367.295645508315,0.0,884214.2668027461,0.0,0.0,0.0,0.0,27781.774331064495,0.0,63408.754196295,16424.688792027693,856432.4924716817,1.0
