Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Morocco - onshore,1,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,564.456059551183,0.0,0.0,470293.97614121804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107.6479491879,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
Profile: 2020ma,2,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,4122.668599784882,3558.2125402336987,1128.912119102366,0.0,0.0,476546.9148506046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5729.39701976646,0.0,5729.39701976646,11369.873475439173,470817.51783083816,1.0
Location: Morocco,3,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,1693.368178653549,0.0,0.0,474902.4421784017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7716.113986371551,0.0,0.0,5729.39701976646,11369.873475439173,467186.32819203014,1.0
Fuel: NH3,4,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,2257.824238204732,0.0,0.0,470932.20635761163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3567.50301483952,0.0,9296.90003460598,11369.873475439173,467364.7033427721,1.0
Electrolyser: SOEC,5,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,2822.280297755915,0.0,0.0,463430.5286603348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3953.4731912582283,5343.426843347752,11369.873475439173,467384.001851593,1.0
CO2 capture: All,6,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,3386.736357307098,0.0,0.0,462110.0726908498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5343.426843347752,0.0,11369.873475439173,467453.4995341975,1.0
CO2taxWTTup: 0,7,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,3951.192416858281,0.0,0.0,471618.05373746523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4431.725545435096,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
CO2taxWTTop: 0,8,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,4515.648476409464,0.0,0.0,476789.7850677489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9603.45687571878,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
CO2WTTop_treshhold -1,9,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,5080.104535960647,0.0,107242.75975032839,480443.0901012989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120499.52165959713,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
Renewable criterion: None,10,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,5644.56059551183,0.0,295929.3134619911,482417.9301735139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311160.91544347483,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
Renewable application: 0,11,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.4560595511757,0.0,6209.016655063006,0.0,354609.31408009527,482417.9301735139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369840.916061579,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,12,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,6773.472714614189,0.0,373326.2108289734,475527.95527022454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381667.8379071678,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,13,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,7337.928774165372,0.0,371808.62460609135,447319.6019638676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351941.8983779288,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,14,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,7902.384833716555,0.0,365232.4176402693,408122.80118377565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306168.89063201484,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,15,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,8466.840893267738,0.0,357138.62445156527,353999.0205622662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243951.3168218013,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,16,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,9031.29695281892,0.0,337410.00355409924,287928.69095499604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158152.36631706514,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,17,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,1394.952797245648,830.4967376944651,9595.753012370104,0.0,280753.45123317104,241352.88912164723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51561.281170814575,0.0,51561.281170814575,11369.873475439173,470545.0591840037,1.0
 ,18,52185.826245810444,105676.29814776615,9393.44872424588,9393.44872424588,0.0,0.0,0.0,75147.58979396704,0.0,0.0,9595.753012370104,0.0,145688.27739667252,240698.4186805513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.567160097522,50846.714010717056,9393.44872424588,387101.2632373213,1.0
 ,19,36686.308059405404,74289.77382029594,6603.535450692973,6603.535450692973,0.0,0.0,0.0,52828.28360554379,0.0,0.0,9595.753012370104,0.0,1011.7241485880037,271092.91562227556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50846.714010717056,6603.5354506929725,272104.6397708636,1.0
 ,20,45648.98122170359,92439.18697394976,8216.816619906645,8216.816619906645,0.0,0.0,0.0,65734.53295925316,0.0,0.0,9595.753012370104,0.0,0.0,338581.3467827019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50846.714010717056,8216.816619906647,338581.3467827019,1.0
 ,21,60030.09675493328,121560.9459287399,10805.41741588799,10805.41741588799,0.0,0.0,0.0,86443.33932710392,0.0,0.0,9595.753012370104,0.0,0.0,396942.60120220616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50846.714010717056,0.0,10805.41741588799,447789.31521292316,1.0
 ,22,60030.09675493328,122116.71543432956,10854.819149718183,10805.41741588799,0.0,0.0,0.0,86838.55319774547,49.40173383019204,0.0,9645.154746200296,0.0,0.0,447167.132278116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10854.819149718183,447167.13227811595,1.0
 ,23,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,10209.61080575148,0.0,0.0,476718.9781320405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9532.649940010335,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,24,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.4560595511794,0.0,10774.066865302659,0.0,0.0,478999.9500710631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11251.068456221892,0.0,11251.068456221892,11369.873475439173,467748.88161484123,1.0
 ,25,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,11338.522924853842,0.0,0.0,475196.41175765847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7628.651014884124,0.0,18879.719471106015,11369.873475439173,467567.76074277435,1.0
 ,26,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,11902.978984405025,0.0,0.0,469097.75400497566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19847.159310496238,0.0,18879.719471106015,0.0,11369.873475439173,468130.31416558544,1.0
 ,27,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,12467.435043956208,0.0,0.0,472186.16294181603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.834749785892,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,28,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,5478.890779841397,4914.434720290214,13031.891103507438,0.0,0.0,475097.5326116266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3134.8912214511074,0.0,3134.8912214511074,11369.873475439173,471962.6413901755,1.0
