Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Esbjerg - offshore,1,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,3545.0419053400274,0.0,0.0,0.0,858927.3954707364,0.0,151284.0986351968,0.0,0.0,0.0,17374.47231490421,707643.2968355396,1.0
Profile: 2020ma,2,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,7090.083810680055,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,0.0,17374.47231490421,707643.2968355396,1.0
Location: Esbjerg,3,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,10635.125716020082,0.0,0.0,0.0,858927.3954707364,0.0,0.0,144080.0939382826,0.0,144080.0939382826,17374.47231490421,714847.3015324537,1.0
Fuel: NH3,4,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,14180.167621360159,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
Electrolyser: SOEC,5,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,17725.209526700186,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519686,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
CO2 capture: None,6,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,21270.25143204021,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
CO2taxWTTup: 0,7,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,24815.293337380237,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
CO2taxWTTop: 0,8,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,28360.335242720263,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
CO2WTTop_treshhold -1,9,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,31905.377148060288,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
Renewable criterion: None,10,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,35450.419053400314,0.0,0.0,0.0,858927.3954707364,0.0,151284.09863519674,0.0,0.0,144080.0939382826,17374.47231490421,707643.2968355396,1.0
