Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
Esbjerg - bp sale,NH3 plant + ASU - AEC,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,78.13009294388745,520.5151800070493,46.82034044163408,20.82060720028197,0.0,0.0,0.0,0.0,67.64094764191606,425.80645161291517,0.0,191.61290322581064,1.0077619493011207,54.18074996242584,195.05069986473305,0.15885374067419233,0.6468803915739928,5449.967299010889,0.22407176810907864,0.0,8.121471271328097,0.0,0.0,0.0,0.0245460174793914,58.8206546808051
Esbjerg - bp sale,Waste water plant,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,199.7838954285115,21.48722145197381,2.510342304173587,0.6446166435592143,0.0,0.0,0.0,0.056212044917153946,3.211170992649955,864.8006910331245,0.0,2.1620017275826693,0.0,0.0,0.0,0.0037131919827836464,0.5137899933053363,4328.680693597458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,Electrolysers AEC,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,17.758568482534358,707.5013683441688,63.639748082557986,70.75013683441689,0.0,0.0,0.0,0.0,134.3898849169749,76.87117253627332,0.0,3828.1843923064444,0.0,0.0,0.0,1.7482481466450914,0.5137899933053363,4328.680693597458,0.25878750144959695,0.0,0.0,0.0,0.39796951969359495,5.024867672898785e-5,0.0,58.8206546808051
Esbjerg - bp sale,H2 pipeline to NH3 plant,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,14.06341672989974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6451612903173,0.0,0.0,0.0,0.0,0.0,0.0,0.6468803915739928,5449.967299010889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,Heat from district heating,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,Heat sent to district heating,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,100.797634706865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.726415506318093,436.3207753158844,-8.726415506318093,0.0,0.0,0.0,0.0,-0.020000000000000927,0.5137899933053363,4328.680693597458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,Heat sent to other process,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,Sale of oxygen,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,142.06854786027486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.748469014511308,614.9693802901866,-30.748469014511308,0.0,0.0,0.0,0.0,-0.05000000000000322,0.5137899933053363,4328.680693597458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,H2 pipes compressor,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,696.3251323123906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.609368512874513,0.0,10.912806402101989,0.0,0.0,0.0,0.0,0.001978912615848386,16.67233878852265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,H2 pipes valve,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,710.3885490422903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.383357266918978,0.0,0.0,0.0,0.0,0.0,0.0,0.0019019736878349823,16.024128320009726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
Esbjerg - bp sale,H2 buried pipes,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,375.58724956737444,93.89681239184362,7.262918438509105,2.8169043717553084,0.0,0.0,0.0,0.0,10.079822810264414,1660.3972167701736,0.0,0.0,0.0,0.0,0.0,0.006070729767827374,0.5247243844610883,4420.802939084669,0.0002952568228641608,0.0,0.0,0.0,0.3755872495673745,4.7422632521131806e-5,0.0,58.8206546808051
Esbjerg - bp sale,OFF_SP379-HH100,2030 bench,Esbjerg,2020ma,NH3,AEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8206546808051
