Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
Flex,NH3 plant + ASU - SOEC,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,84.90725634995403,565.6657269644098,50.05891389065574,22.626629078576393,0.0,0.0,0.0,0.0,72.68554296923213,425.80645161289834,0.0,251.22580645160733,1.0025803763342196,53.902170770656966,194.0478147743651,0.17070089636713803,0.5952474180645506,5014.959497193839,0.24350820968931408,0.0,6.486672985024852,0.0,0.0,0.0,0.01932461745909548,58.18578314058579
Flex,Waste water plant,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,187.55010278811628,20.171448671100375,2.356621168944942,0.6051434601330113,0.0,0.0,0.0,0.05605460066017267,3.017819229738126,862.3784716949255,0.0,2.1559461792373766,0.0,0.0,0.0,0.0034994139218328126,0.5457712952115066,4598.123162156943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,Electrolysers 75AEC-25SOEC_HI,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,16.671120247832558,663.1103877524869,58.68233519933512,63.91886771141357,0.0,0.0,0.0,0.0,122.6012029107487,76.65586415066255,0.0,3589.4108388546697,0.0,0.0,0.0,1.599371480175128,0.5457712952115066,4598.123162156943,0.24574473274164346,0.0,0.0,0.0,0.34661759663281067,4.376484805969882e-5,0.0,58.18578314058579
Flex,H2 pipeline to NH3 plant,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,15.283306142991727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6451612903179,0.0,0.0,0.0,0.0,0.0,0.0,0.5952474180645506,5014.959497193839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,Heat from district heating,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,Heat sent to district heating,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,70.96895889502319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.32401368937724,0.0,0.0,0.0,0.0,0.0,0.0,0.5457712952115066,4598.123162156943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,Heat sent to other process,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,Sale of oxygen,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,133.36896198266047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.2469132053004,0.0,0.0,0.0,0.0,0.0,0.0,0.5457712952115066,4598.123162156943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,H2 pipes compressor,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,54.47798117799352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504216120507236,0.0,3.2939631532770077,0.0,0.0,0.0,0.0,0.007634840495229772,64.32353117231082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
Flex,H2 pipes valve,2030 bench,Bornholm,2020,NH3,Mix,None,0.0,0.0,C1_E0,-1.0,None,0.0,54.7348190456182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.493513260165734,0.0,0.0,0.0,0.0,0.0,0.0,0.007575805215881252,63.82615894379955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18578314058579
