Subsets,Subsets_2,Type of units,Parameters-->,Used (1 or 0),Unit tag,Yearly demand (kg fuel),Produced from,El balance,Heat balance,Process heat balance,H2 balance,CSP balance,Max Capacity,Fuel production rate (kg output/kg input),Heat generated (kWh/output),Process heat generated (kWh/output),Load min (% of max capacity),Ramp up (% of capacity /h),Ramp down (% of capacity /h),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Fuel selling price (EUR/output),Fuel buying price (EUR/output),CO2e infrastructure (kg CO2e/Capacity/y),CO2e process (kg CO2e/output),Land use (m2/Capacity),Annuity factor
0,0,0,Year-->,All,All,All,All,All,All,All,All,All,All,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst,2030 worst
0,0,0,0,Used (1 or 0)All,Unit tagAll,Yearly demand (kg fuel)All,Produced fromAll,El balanceAll,Heat balanceAll,Process heat balanceAll,H2 balanceAll,CSP balanceAll,Max CapacityAll,Fuel production rate (kg output/kg input)2030 worst,Heat generated (kWh/output)2030 worst,Process heat generated (kWh/output)2030 worst,Load min (% of max capacity)2030 worst,Ramp up (% of capacity /h)2030 worst,Ramp down (% of capacity /h)2030 worst,Electrical consumption (kWh/output)2030 worst,Investment (EUR/Capacity installed)2030 worst,Fixed cost (EUR/Capacity installed/y)2030 worst,Variable cost (EUR/Output)2030 worst,Fuel selling price (EUR/output)2030 worst,Fuel buying price (EUR/output)2030 worst,CO2e infrastructure (kg CO2e/Capacity/y)2030 worst,CO2e process (kg CO2e/output)2030 worst,Land use (m2/Capacity)2030 worst,Annuity factor2030 worst
0,0,0,Line/Column index,1,2,3,4,5,6,7,8,9,10,14,24,34,44,54,64,74,84,94,104,114,124,134,144,154,164
Product,Min_demand_MainFuel,NH3 plant + ASU - SOEC,14,1,NH3-SOEC,4.2580645161290324e8,Reactant9,0,1,0,0,0,20000,5.555555555555555,0,0,0.4,1.0,1.0,0.59,6662.16,266.4864,0,0,0,0,0,0,0.08849557522123894
Reactant11,NoSubset,Waste water plant,17,1,H2O wwtp,0,-,0,0,0,0,0,400000,0,0,0,0.0,1.0,1.0,0.004,120.99315999999999,3.6297947999999995,0,0,0.00013000000000000002,0,0,0,0.11682954493601999
Product/Reactant3,PWL,Electrolysers SOEC heat integrated,20,1,H2_from_SOEC_HI,0,Reactant11,0,1,0,1,0,20000,0.08888888888888889,0,0,0.0,1.0,1.0,37.9,39583.97811177662,3384.4301285569013,0,0,0,0,0,15.936,0.08849557522123894
Reactant9,NoSubset,H2 pipeline to NH3 plant,29,1,H2_pipeline_to_NH3_plant,0,-,0,0,0,-1,0,20000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Heat_in,Heat_buy,Heat from district heating,31,1,Heat_import,0,-,0,1,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Heat_out,Heat_sell,Heat sent to district heating,32,1,Heat_export,0,-,0,-1,0,0,0,2000000,0,1,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
NoSubset,Process_heat_sell,Heat sent to other process,33,1,Heat_export_process,0,-,0,0,-1,0,0,2000000,0,0,1,0.0,1.0,1.0,0,0,0,0,0.02,0,0,0,0,0
Product,O2_sell,Sale of oxygen,34,1,O2,0,Product/Reactant3,0,0,0,0,0,180000,8,0,0,0.0,1.0,1.0,0,0,0,0,0.027,0,0,0,0,0
Stor_in,NoSubset,H2 pipes compressor,38,1,H2_to_pipe,0,-,0,0,0,-1,0,20000,0,0,0,0.0,1.0,1.0,0.94,0,0,0,0,0,0,0,0,0.09367877905196811
Stor_out,NoSubset,H2 pipes valve,39,1,H2_from_pipe,0,-,0,0,0,1,0,20000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Tank,NoSubset,H2 buried pipes,40,1,H2_stored_pipe,0,-,0,0,0,0,0,20000000,0,0,0,0.09,1.0,1.0,0,250,7.5,0,0,0,0,0,0,0.08174285816161557
RPU_OFF_SP379-HH100,NoSubset,OFF_SP379-HH100,51,1,SP379-HH100,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,1998.1303119546053,37.59570787,0.0028155330000000003,0,0,0,0,0,0.08882743338727227
RPU_OFF_SP379-HH150,NoSubset,OFF_SP379-HH150,52,1,SP379-HH150,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,2296.6158904916497,37.59570787,0.0028155330000000003,0,0,0,0,0,0.08882743338727227
RPU_OFF_SP450-HH100,NoSubset,OFF_SP450-HH100,53,1,SP450-HH100,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,1801.4452222473265,37.59570787,0.0028155330000000003,0,0,0,0,0,0.08882743338727227
