Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Worst case,1,60883.5638034059,123289.21670189693,10959.04148461306,10959.041484613062,0.0,62203.519466663725,0.0,87672.33187690449,0.0,0.0,0.0,0.0,555081.7793397165,0.0,39391.42599311903,0.0,0.0,0.0,0.0,0.0,10959.04148461306,594473.2053328356,1.0
Profile: 2020,2,66692.54960213776,135052.41294432897,12004.658928384797,12004.658928384797,0.0,68138.4440775121,0.0,96037.27142707838,0.0,0.0,0.0,0.0,608210.2447600682,0.0,42982.47881016512,0.0,0.0,0.0,0.0,0.0,12004.658928384797,651192.7235702333,1.0
Location: Bornholm,3,67573.44874059898,136836.23369971293,12163.220773307816,12163.220773307816,0.0,69038.44110929515,0.0,97305.76618646253,0.0,0.0,0.0,0.0,627487.7608587723,0.0,44208.871081017256,0.0,11902.72109170712,0.0,0.0,0.0,12163.220773307816,659793.9108480825,1.0
Fuel: NH3,4,67573.44874059898,171940.53158437848,15283.60280750031,12163.220773307816,0.0,86749.72953537175,0.0,122268.82246000248,3120.3820341924948,0.0,3120.3820341924948,0.0,771008.4070290279,0.0,53182.8312904862,0.0,0.0,0.0,0.0,0.0,15283.60280750031,824191.2383195141,1.0
Electrolyser: AEC,5,67573.44874059898,136836.23369971293,12163.220773307816,12163.220773307816,0.0,69038.44110929515,0.0,97305.76618646253,0.0,0.0,3120.3820341924948,0.0,698510.1885908396,0.0,48659.13285428909,0.0,0.0,83214.67675909167,0.0,83214.67675909167,12163.220773307816,663954.6446860371,1.0
CO2 capture: None,6,67573.44874059898,136836.23369971293,12163.220773307816,12163.220773307816,0.0,69038.44110929515,0.0,97305.76618646253,0.0,0.0,3120.3820341924948,0.0,776358.1483387162,0.0,53520.639939942484,0.0,249138.82035171334,0.0,83214.67675909167,0.0,12163.220773307816,663954.6446860371,1.0
CO2taxWTTup: 0,7,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,7494.718399888881,0.0,848856.3667769044,0.0,62083.35483702989,0.0,0.0,19698.95175155966,0.0,19698.95175155966,16537.557139004202,891240.7698623746,1.0
CO2taxWTTop: 0,8,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,11869.054765585268,0.0,856327.5572266415,0.0,63684.274088800936,0.0,0.0,28339.056229186353,0.0,48038.00798074601,16537.557139004202,891672.775086256,1.0
CO2WTTop_treshhold -1,9,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,16243.391131281654,0.0,859832.5601536785,0.0,64624.263374244496,0.0,34201.001253126306,0.0,0.0,48038.00798074601,16537.557139004202,890255.8222747967,1.0
Renewable criterion: None,10,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,20617.72749697804,0.0,868964.0151478015,0.0,66922.8309238057,0.0,0.0,43458.11790172432,0.0,91496.12588247034,16537.557139004202,892428.7281698829,1.0
Renewable application: 0,11,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,24992.063862674426,0.0,876250.7317592733,0.0,68531.09384186928,0.0,54526.00332634593,0.0,0.0,91496.12588247034,16537.557139004202,890255.8222747967,1.0
 ,12,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,29366.40022837081,0.0,876250.7317592733,0.0,69742.79878013636,0.0,0.0,53083.53168058405,0.0,144579.65756305438,16537.557139004202,892909.9988588259,1.0
 ,13,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,33740.736594067195,0.0,876250.7317592733,0.0,69764.82977901395,0.0,55759.73926349066,0.0,0.0,144579.65756305438,16537.557139004202,890255.8222747967,1.0
 ,14,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,38115.07295976358,0.0,876250.7317592733,0.0,69764.82977901395,0.0,0.0,53104.513584276865,0.0,197684.17114733125,16537.557139004202,892911.0479540105,1.0
 ,15,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,42489.409325459965,0.0,876250.7317592733,0.0,69764.82977901395,0.0,55759.73926349066,0.0,0.0,197684.17114733125,16537.557139004202,890255.8222747967,1.0
 ,16,67573.44874059898,136836.23369971293,12163.220773307816,12163.220773307816,0.0,69038.44110929515,0.0,97305.76618646253,0.0,0.0,42489.409325459965,0.0,876250.7317592733,0.0,69764.82977901395,0.0,0.0,272592.0482763854,0.0,470276.21942371666,12163.220773307816,673423.5132619018,1.0
 ,17,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,46863.74569115635,0.0,876250.7317592733,0.0,69764.82977901395,0.0,55759.73926349066,0.0,0.0,470276.21942371666,16537.557139004202,890255.8222747967,1.0
 ,18,67573.44874059898,149877.38823188053,13322.434509500492,12163.220773307816,0.0,75618.13827592478,0.0,106579.47607600394,1159.2137361926762,0.0,48022.95942734902,0.0,876250.7317592733,0.0,69764.82977901395,0.0,0.0,214427.11904656538,0.0,684703.338470282,13322.434509500492,731588.442491722,1.0
 ,19,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,52397.29579304541,0.0,876250.7317592733,0.0,69698.7367823812,0.0,55693.64626685786,0.0,0.0,684703.338470282,16537.557139004202,890255.8222747967,1.0
 ,20,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,56771.63215874179,0.0,874959.4148914176,0.0,67884.85120812683,0.0,0.0,50084.23221404553,0.0,734787.5706843275,16537.557139004202,892760.033885499,1.0
 ,21,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,61145.968524438176,0.0,840093.8594593118,0.0,60379.62425716344,0.0,0.0,9731.106134932086,0.0,744518.6768192597,16537.557139004202,890742.3775815433,1.0
 ,22,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,65520.30489013456,0.0,737434.168464778,0.0,51089.88639711579,0.0,383376.05289999873,0.0,510639.81085568597,233878.86596357365,16537.557139004202,915787.812817581,1.0
 ,23,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,69894.64125583095,0.0,624074.9948508678,0.0,43995.90475853395,0.0,0.0,0.0,233878.86596357365,0.0,16537.557139004202,901949.7655729754,1.0
 ,24,67573.44874059898,167588.23322936092,14896.73184260986,12163.220773307816,0.0,84553.84993865356,0.0,119173.85474087889,2733.511069302045,0.0,72628.15232513299,0.0,751823.1278494566,0.0,51985.813684804176,0.0,0.0,0.0,0.0,0.0,14896.73184260986,803808.9415342608,1.0
 ,25,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,77002.48869082938,0.0,851346.7635934835,0.0,62582.72414492177,0.0,0.0,22546.348060579574,0.0,22546.348060579574,16537.557139004202,891383.1396778256,1.0
 ,26,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,81376.82505652578,0.0,851346.7635934835,0.0,62582.72414492177,0.0,0.0,22546.348060579523,0.0,45092.6961211591,16537.557139004202,891383.1396778256,1.0
 ,27,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,85751.16142222217,0.0,850701.1051595556,0.0,62450.53815165628,0.0,22895.821036415175,0.0,0.0,45092.6961211591,16537.557139004202,890255.8222747967,1.0
 ,28,67573.44874059898,186047.51781379728,16537.557139004202,12163.220773307816,0.0,93867.17432098783,0.0,132300.45711203362,4374.336365696387,0.0,90125.49778791856,0.0,861031.6401024017,0.0,64954.72835740825,0.0,35730.546185013256,0.0,0.0,45092.6961211591,16537.557139004202,890255.8222747967,1.0
