Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: H2 tank,1,61376.724384989946,124287.86687960464,11047.81038929819,11047.81038929819,0.0,62707.37176965652,0.0,88382.48311438553,0.0,0.0,0.0,0.0,578111.2030274945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11047.810389298193,578111.2030274944,1.0
Profile: 2020,2,67251.26630020334,136183.81425791176,12105.227934036602,12105.2279340366,0.0,68709.27375359174,0.0,96841.82347229282,0.0,0.0,0.0,0.0,633443.8804857591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12105.227934036606,633443.8804857592,1.0
Location: Bornholm,3,69382.82751596654,140500.22571983226,12488.908952873979,12488.908952873977,0.0,70887.0472165127,0.0,99911.27162299183,0.0,0.0,0.0,0.0,653521.1887996086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12488.908952873979,653521.1887996086,1.0
Fuel: NH3,4,73445.51259992008,172187.47495604822,15305.553329426508,13220.192267985616,0.0,86874.32069782485,0.0,122444.42663541206,2085.3610614408917,0.0,2085.3610614408917,0.0,802996.2688778375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15305.553329426513,802996.2688778376,1.0
Electrolyser: AEC,5,73445.51259992008,156258.86212195945,13889.676633063062,13220.192267985616,0.0,78837.80456926592,0.0,111117.4130645045,669.4843650774462,0.0,2754.8454265183364,0.0,727490.2194295805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13889.676633063063,727490.2194295805,1.0
CO2 capture: None,6,73445.51259992008,173362.86877841104,15410.032780303203,13220.192267985616,0.0,87467.34606100096,0.0,123280.26224242563,2189.840512317586,0.0,4944.685938835923,0.0,808567.962094121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15410.032780303203,808567.9620941211,1.0
CO2taxWTTup: 0,7,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,8010.869127989272,0.0,884074.0115423781,0.0,0.0,0.0,28772.337635124917,0.0,0.0,0.0,16286.375457138964,855301.6739072532,1.0
CO2taxWTTop: 0,8,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,11077.052317142621,0.0,891855.1693099466,0.0,0.0,0.0,36553.4954026934,0.0,0.0,0.0,16286.375457138964,855301.6739072532,1.0
CO2WTTop_treshhold -1,9,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,14143.23550629597,0.0,895505.5890033738,0.0,0.0,0.0,40203.915096120676,0.0,0.0,0.0,16286.375457138964,855301.6739072532,1.0
Renewable criterion: None,10,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,17209.41869544932,0.0,905015.892941513,0.0,0.0,0.0,0.0,47346.87527072372,0.0,47346.87527072372,16286.375457138964,857669.0176707894,1.0
Renewable application: 0,11,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,20275.60188460268,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,47346.87527072372,16286.375457138964,855301.6739072532,1.0
 ,12,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,23341.78507375603,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,101921.3985560025,16286.375457138964,858030.4000715171,1.0
 ,13,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,26407.96826290938,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,156495.9218412813,16286.375457138964,858030.4000715171,1.0
 ,14,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,29474.15145206273,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527867,0.0,211070.44512656,16286.375457138964,858030.4000715171,1.0
 ,15,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,32540.33464121608,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,265644.96841183875,16286.375457138964,858030.4000715171,1.0
 ,16,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533475,0.0,35606.51783036943,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,265644.96841183875,16286.375457138964,855301.6739072532,1.0
 ,17,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,19438.540174736932,16372.356985583583,38672.70101952282,0.0,912604.9233567958,0.0,0.0,0.0,0.0,0.0,0.0,265644.96841183875,16286.375457138965,912604.9233567958,1.0
 ,18,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,41738.88420867617,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,265644.96841183875,16286.375457138964,855301.6739072532,1.0
 ,19,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,44805.06739782952,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.523285278934,0.0,320219.4916971177,16286.375457138962,858030.400071517,1.0
 ,20,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,47871.250586982875,0.0,911260.0318907963,0.0,0.0,0.0,0.0,53293.67427004114,0.0,373513.16596715886,16286.375457138964,857966.3576207552,1.0
 ,21,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,5503.650677692841,2437.4674885394916,50937.433776136226,0.0,874947.9623088102,0.0,0.0,0.0,0.0,10585.859230160833,0.0,384099.0251973197,16286.375457138964,864362.1030786494,1.0
 ,22,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,54003.61696528958,0.0,768029.0907618508,0.0,0.0,0.0,0.0,0.0,91865.87699516054,292233.14820215915,16286.375457138964,859894.9677570112,1.0
 ,23,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,57069.80015444293,0.0,649966.8327823243,0.0,0.0,0.0,0.0,0.0,216141.93802624097,76091.2101759182,16286.375457138964,866108.7708085652,1.0
 ,24,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,60135.98334359628,0.0,783015.0242401308,0.0,0.0,0.0,0.0,0.0,76091.2101759182,0.0,16286.375457138964,859106.2344160491,1.0
 ,25,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.183189153351,0.0,63202.16653274963,0.0,886667.7307982342,0.0,0.0,0.0,31366.05689098104,0.0,0.0,0.0,16286.375457138964,855301.6739072532,1.0
 ,26,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533475,0.0,66268.34972190298,0.0,886667.7307982342,0.0,0.0,0.0,0.0,29872.435134267766,0.0,29872.435134267766,16286.375457138964,856795.2956639666,1.0
 ,27,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.183189153351,0.0,69334.53291105633,0.0,885995.2850652345,0.0,0.0,0.0,0.0,29232.010626648997,0.0,59104.44576091676,16286.375457138964,856763.2744385856,1.0
 ,28,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,72400.71610020968,0.0,896754.4167932305,0.0,0.0,0.0,41452.74288597726,0.0,0.0,59104.44576091676,16286.375457138964,855301.6739072532,1.0
 ,29,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,75466.89928936303,0.0,878694.4456783801,0.0,0.0,0.0,0.0,22278.830258216087,0.0,81383.27601913284,16286.375457138964,856415.615420164,1.0
 ,30,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891521288,0.0,78533.08247851516,0.0,847665.878284249,0.0,0.0,0.0,0.0,0.0,8037.679603157786,73345.59641597506,16286.375457138964,855703.5578874068,1.0
 ,31,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,81599.26566766851,0.0,868895.9507118124,0.0,0.0,0.0,13594.276804559166,0.0,0.0,73345.59641597506,16286.375457138964,855301.6739072532,1.0
 ,32,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,84665.44885682187,0.0,885130.7119799491,0.0,0.0,0.0,0.0,28408.60768828186,0.0,101754.20410425692,16286.375457138964,856722.1042916672,1.0
 ,33,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,87731.63204597522,0.0,885514.9666845204,0.0,0.0,0.0,0.0,28774.564549778253,0.0,130528.76865403517,16286.375457138964,856740.4021347421,1.0
 ,34,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,90797.81523512857,0.0,885995.2850652345,0.0,0.0,0.0,0.0,29232.010626648884,0.0,159760.77928068404,16286.375457138964,856763.2744385856,1.0
 ,35,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,93863.99842428192,0.0,856599.8001655315,0.0,0.0,0.0,73739.91875316878,0.0,76254.51841567426,83506.26086500978,16286.375457138964,859114.3998280369,1.0
 ,36,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,96930.18161343527,0.0,868415.6323310983,0.0,0.0,0.0,13113.95842384512,0.0,0.0,83506.26086500978,16286.375457138964,855301.6739072532,1.0
 ,37,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,99996.36480258862,0.0,868799.8870356696,0.0,0.0,0.0,0.0,12855.441074682332,0.0,96361.70193969211,16286.375457138964,855944.4459609872,1.0
 ,38,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,103062.54799174197,0.0,841325.675658823,0.0,0.0,0.0,0.0,0.0,14711.57710361074,81650.12483608138,16286.375457138964,856037.2527624337,1.0
 ,39,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,106128.73118089532,0.0,824322.4049815437,0.0,0.0,0.0,0.0,0.0,32609.756763904774,49040.3680721766,16286.375457138964,856932.1617454484,1.0
 ,40,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,109194.91437004867,0.0,818558.5844129744,0.0,0.0,0.0,0.0,0.0,38676.93630976713,10363.431762409471,16286.375457138964,857235.5207227415,1.0
