Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: H2 tank,1,63605.53361600065,128801.20557240132,11448.996050880118,11448.996050880118,0.0,0.0,0.0,91591.96840704094,0.0,0.0,0.0,0.0,471766.2181757279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11448.99605088012,471766.21817572793,1.0
Profile: 2020,2,69693.40124026392,141129.13751153444,12544.812223247507,12544.812223247505,0.0,0.0,0.0,100358.49778598006,0.0,0.0,0.0,0.0,516920.3128366151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12544.812223247509,516920.3128366151,1.0
Location: Bornholm,3,71565.54909433832,144920.2369160351,12881.798836980897,12881.798836980897,0.0,0.0,0.0,103054.39069584718,0.0,0.0,0.0,0.0,533304.3506562773,0.0,0.0,0.0,2498.2001767515903,0.0,0.0,0.0,12881.798836980897,530806.1504795257,1.0
Fuel: NH3,4,71565.54909433832,178722.5369245916,15886.447726630366,12881.798836980897,0.0,0.0,0.0,127091.58181304293,3004.6488896494807,0.0,3004.6488896494807,0.0,655283.120261035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15886.447726630366,655283.120261035,1.0
Electrolyser: SOEC,5,71565.54909433832,161990.28301936353,14399.13626838787,12881.798836980897,0.0,0.0,0.0,115193.09014710296,1517.3374314070097,0.0,4521.986321056491,0.0,593666.5952550328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14399.13626838787,593666.5952550328,1.0
CO2 capture: None,6,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,7589.298443353186,0.0,659829.886737305,0.0,0.0,0.0,1950.7462412565947,0.0,0.0,0.0,15949.110959277592,657879.1404960484,1.0
CO2taxWTTup: 0,7,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,10656.61056564988,0.0,721446.4117433074,0.0,0.0,0.0,63567.27124725899,0.0,0.0,0.0,15949.110959277592,657879.1404960484,1.0
CO2taxWTTop: 0,8,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,13723.922687946575,0.0,727796.2063049945,0.0,0.0,0.0,0.0,66587.68172280585,0.0,66587.68172280585,15949.110959277592,661208.5245821887,1.0
CO2WTTop_treshhold -1,9,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,16791.23481024327,0.0,730775.1222722059,0.0,0.0,0.0,72895.98177615751,0.0,0.0,66587.68172280585,15949.110959277592,657879.1404960484,1.0
Renewable criterion: None,10,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,19858.546932539964,0.0,738535.982292046,0.0,0.0,0.0,80656.84179599758,0.0,0.0,66587.68172280585,15949.110959277592,657879.1404960484,1.0
