Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: H2 tank,1,61923.44226451191,125394.97058563663,11146.219607612145,11146.219607612145,0.0,47449.4568696049,0.0,89169.75686089716,0.0,0.0,0.0,0.0,558770.0514889647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11146.219607612144,558770.0514889647,1.0
Profile: 2020,2,67850.3121123615,137396.88202753203,12213.05618022507,12213.05618022507,0.0,51990.98015921812,0.0,97704.44944180056,0.0,0.0,0.0,0.0,612251.531990401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12213.05618022507,612251.531990401,1.0
Location: Bornholm,3,70000.86037312637,141751.7422555809,12600.154867162748,12600.154867162748,0.0,53638.85926951181,0.0,100801.23893730198,0.0,0.0,0.0,0.0,631657.1386306791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12600.154867162748,631657.1386306791,1.0
Fuel: NH3,4,72920.78485329179,174056.5810194121,15471.696090614409,13125.74127359252,0.0,65863.01025774553,0.0,123773.56872491527,2345.954817021886,0.0,2345.954817021886,0.0,776131.415818587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15471.696090614407,776131.4158185868,1.0
Electrolyser: Mix,5,72920.78485329179,157751.2515982425,14022.333475399333,13125.74127359252,0.0,59693.07360477496,0.0,112178.66780319466,896.5922018068119,0.0,3242.5470188286977,0.0,703151.4788843353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14022.333475399331,703151.4788843351,1.0
CO2 capture: None,6,72920.78485329179,175259.77326677574,15578.646512602289,13125.74127359252,0.0,66318.29820414794,0.0,124629.17210081831,2452.9052390097654,0.0,5695.452257838463,0.0,781516.7037857454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15578.646512602289,781516.7037857454,1.0
CO2taxWTTup: 0,7,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,8743.960708953153,0.0,854496.6407199971,0.0,0.0,0.0,42989.45394473104,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
CO2taxWTTop: 0,8,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,11792.469160067843,0.0,862017.4739155115,0.0,0.0,0.0,0.0,48105.035371662314,0.0,48105.035371662314,16174.249724707211,813912.4385438492,1.0
CO2WTTop_treshhold -1,9,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146833,0.0,14840.977611182527,0.0,865545.7660319258,0.0,0.0,0.0,54038.57925665972,0.0,0.0,48105.035371662314,16174.249724707211,811507.1867752661,1.0
Renewable criterion: None,10,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146924,0.0,17889.48606229722,0.0,874737.8954931102,0.0,0.0,0.0,63230.7087178441,0.0,0.0,48105.035371662314,16174.249724707211,811507.1867752661,1.0
Renewable application: 0,11,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,20937.994513411908,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,115310.5994938376,16174.249724707211,814867.4649813748,1.0
 ,12,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.508451114696,0.0,23986.502964526604,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,115310.5994938376,16174.249724707211,811507.1867752661,1.0
