Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: No H2 storage,1,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,676879.3017180742,0.0,0.0,0.0,61655.72921070643,0.0,0.0,0.0,11757.034529851162,615223.5725073678,1.0
Profile: 2020,2,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,741665.3565186077,0.0,0.0,0.0,126441.78401123988,0.0,0.0,0.0,11757.034529851162,615223.5725073678,1.0
Location: Bornholm,3,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,765172.7965417181,0.0,0.0,0.0,149949.22403435025,0.0,0.0,0.0,11757.034529851162,615223.5725073678,1.0
Fuel: NH3,4,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,940185.1251348259,0.0,0.0,0.0,324961.5526274581,0.0,0.0,0.0,11757.034529851162,615223.5725073678,1.0
Electrolyser: AEC,5,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,851779.1545215979,0.0,0.0,0.0,0.0,225291.03048974293,0.0,225291.03048974293,11757.034529851162,626488.1240318549,1.0
CO2 capture: None,6,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,946708.720930713,0.0,0.0,0.0,331485.1484233452,0.0,0.0,225291.03048974293,11757.034529851162,615223.5725073678,1.0
CO2taxWTTup: 0,7,65316.85849917311,132266.63846082555,11757.03452985116,11757.03452985116,0.0,66732.92799143518,0.0,94056.27623880928,0.0,1.035114691543941e6,0.0,0.0,0.0,419891.11903657333,0.0,0.0,225291.03048974293,11757.03452985116,615223.5725073677,1.0
CO2taxWTTop: 0,8,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0442252305002661e6,0.0,0.0,0.0,0.0,408573.00761228404,0.0,633864.038102027,11757.034529851162,635652.222887982,1.0
CO2WTTop_treshhold -1,9,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.048499310504468e6,0.0,0.0,0.0,0.0,412643.5599972383,0.0,1.0465075980992652e6,11757.034529851162,635855.7505072297,1.0
Renewable criterion: None,10,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0596344136733096e6,0.0,0.0,0.0,444410.8411659418,0.0,0.0,1.0465075980992652e6,11757.034529851162,615223.5725073678,1.0
