Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: No H2 storage,1,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,649177.9902240006,0.0,0.0,0.0,60047.66617517115,0.0,0.0,0.0,11751.839512253537,589130.3240488294,1.0
Profile: 2020,2,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,711312.6732364673,0.0,0.0,0.0,122182.34918763791,0.0,0.0,0.0,11751.839512253537,589130.3240488294,1.0
Location: Bornholm,3,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,733858.070371199,0.0,0.0,0.0,144727.74632236967,0.0,0.0,0.0,11751.839512253537,589130.3240488294,1.0
Fuel: NH3,4,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,901708.0126757097,0.0,0.0,0.0,0.0,297693.036787505,0.0,297693.036787505,11751.839512253537,604014.9758882046,1.0
Electrolyser: Mix,5,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,816920.0598149479,0.0,0.0,0.0,227789.7357661185,0.0,0.0,297693.036787505,11751.839512253537,589130.3240488294,1.0
CO2 capture: None,6,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,907964.6300623817,0.0,0.0,0.0,318834.30601355236,0.0,0.0,297693.036787505,11751.839512253537,589130.3240488294,1.0
CO2taxWTTup: 0,7,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,992752.5829231435,0.0,0.0,0.0,0.0,384402.1513088706,0.0,682095.1880963757,11751.839512253537,608350.4316142729,1.0
CO2taxWTTop: 0,8,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0014902727217716e6,0.0,0.0,0.0,412359.94867294224,0.0,0.0,682095.1880963757,11751.839512253537,589130.3240488294,1.0
CO2WTTop_treshhold -1,9,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0055894358371774e6,0.0,0.0,0.0,416459.11178834806,0.0,0.0,682095.1880963757,11751.839512253537,589130.3240488294,1.0
Renewable criterion: None,10,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0162688344799451e6,0.0,0.0,0.0,0.0,406798.5813629674,0.0,1.088893769459343e6,11751.839512253537,609470.2531169778,1.0
Renewable application: 0,11,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,435660.4548026172,0.0,0.0,1.088893769459343e6,11751.839512253537,589130.3240488294,1.0
 ,12,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,435660.4548026172,0.0,0.0,1.088893769459343e6,11751.839512253537,589130.3240488294,1.0
 ,13,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596354,0.0,1.5038084883189783e6,11751.839512253537,609876.0599918112,1.0
 ,14,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,435660.4548026172,0.0,0.0,1.5038084883189783e6,11751.839512253537,589130.3240488294,1.0
 ,15,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596354,0.0,1.9187232071786136e6,11751.839512253537,609876.0599918112,1.0
 ,16,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596354,0.0,2.333637926038249e6,11751.839512253537,609876.0599918112,1.0
