Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Morocco,1,0.0,67545.76514117578,6004.068012548959,0.0,0.0,25559.317529420918,0.0,48032.54410039167,6004.068012548958,0.0,6004.068012548958,0.0,0.0,0.0,286953.1730322539,0.0,0.0,0.0,0.0,0.0,6004.068012548959,286953.173032254,1.0
Profile: 2020ma,2,44181.211008209946,89466.95229162512,7952.617981477789,7952.617981477791,0.0,33854.29474715095,0.0,63620.94385182231,0.0,0.0,6004.068012548958,0.0,0.0,0.0,398671.9188582704,0.0,0.0,0.0,0.0,0.0,7952.617981477789,398671.91885827034,1.0
Location: Morocco,3,59600.406593717555,120690.82335227805,10728.07318686916,10728.07318686916,0.0,45669.40755650201,0.0,85824.58549495328,0.0,0.0,6004.068012548958,0.0,0.0,0.0,537807.9939238224,0.0,0.0,0.0,0.0,0.0,10728.07318686916,537807.9939238224,1.0
Fuel: NH3,4,70328.2396267088,143104.2260811532,12720.375651658063,12659.083132807586,0.0,54150.63914910837,0.0,101763.0052132645,61.29251885047539,0.0,6065.36053139943,0.0,0.0,0.0,637540.6268015692,0.0,0.0,0.0,0.0,0.0,12720.375651658063,637540.6268015692,1.0
Electrolyser: Mix,5,0.0,159787.51165852984,14203.334369647098,0.0,0.0,60463.59441158769,0.0,113626.67495717679,14203.334369647098,0.0,20268.69490104653,0.0,0.0,0.0,678821.73494534,0.0,0.0,0.0,0.0,0.0,14203.334369647098,678821.73494534,1.0
CO2 capture: None,6,70328.2396267088,152295.2441603447,13537.355036475084,12659.083132807586,0.0,57628.52039027443,0.0,108298.84029180068,878.2719036674983,0.0,21146.966804714026,0.0,0.0,0.0,676586.6246625523,0.0,0.0,0.0,0.0,0.0,13537.355036475084,676586.6246625523,1.0
CO2taxWTTup: 0,7,70328.2396267088,146527.64244266038,13024.67932823648,12659.083132807586,0.0,55446.05990030269,0.0,104197.43462589184,365.5961954288932,0.0,21512.56300014292,0.0,0.0,0.0,652084.2504542411,0.0,0.0,0.0,0.0,0.0,13024.67932823648,652084.2504542412,1.0
CO2taxWTTop: 0,8,61965.626734968544,125480.39413831128,11153.812812294336,11153.812812294338,0.0,47481.78114193698,0.0,89230.50249835469,0.0,0.0,21512.56300014292,0.0,0.0,0.0,559150.7056946595,0.0,0.0,0.0,0.0,0.0,11153.812812294336,559150.7056946595,1.0
CO2WTTop_treshhold -1,9,58822.90400225332,119116.38060456298,10588.122720405598,10588.122720405598,0.0,45073.63842076663,0.0,84704.98176324478,0.0,0.0,21512.56300014292,0.0,0.0,0.0,530792.1506958329,0.0,0.0,0.0,0.0,0.0,10588.122720405598,530792.1506958329,1.0
Renewable criterion: None,10,57248.40449962752,115928.01911174576,10304.712809932957,10304.712809932953,0.0,43867.16243188459,0.0,82437.70247946365,0.0,0.0,21512.56300014292,0.0,0.0,0.0,516584.5560276702,0.0,0.0,0.0,0.0,0.0,10304.712809932957,516584.5560276703,1.0
Renewable application: 0,11,70328.2396267088,159708.88484621735,14196.345319663766,12659.083132807586,0.0,60433.84202580865,0.0,113570.76255731012,1537.2621868561769,0.0,23049.825186999096,0.0,0.0,0.0,708081.8296407743,0.0,0.0,0.0,0.0,0.0,14196.345319663766,708081.8296407744,1.0
 ,12,68128.10039852202,137959.40330700707,12263.058071733962,12263.058071733964,0.0,52203.83821137147,0.0,98104.4645738717,0.0,0.0,23049.825186999096,0.0,0.0,0.0,614758.1719523383,0.0,0.0,0.0,0.0,0.0,12263.058071733962,614758.1719523382,1.0
 ,13,54370.626625386445,110100.51891640756,9786.71279256956,9786.71279256956,0.0,41662.036357968616,0.0,78293.70234055648,0.0,0.0,23049.825186999096,0.0,0.0,0.0,490616.7475183386,0.0,0.0,0.0,0.0,0.0,9786.71279256956,490616.7475183386,1.0
 ,14,41024.26358452048,83074.13375865394,7384.367445213685,7384.367445213687,0.0,31435.252214274653,0.0,59074.93956170948,0.0,0.0,23049.825186999096,0.0,0.0,0.0,370185.0064713945,0.0,0.0,0.0,0.0,0.0,7384.367445213685,370185.0064713945,1.0
 ,15,30051.423178709985,60854.13193688772,5409.256172167798,5409.256172167798,0.0,23027.203524918314,0.0,43274.04937734238,0.0,0.0,23049.825186999096,0.0,0.0,0.0,271170.8952670382,0.0,0.0,0.0,0.0,0.0,5409.256172167798,271170.8952670382,1.0
 ,16,22568.44209212869,45701.095236560606,4062.319576583165,4062.3195765831647,0.0,17293.294437514534,0.0,32498.55661266532,0.0,0.0,23049.825186999096,0.0,0.0,0.0,203647.74774595402,0.0,0.0,0.0,0.0,0.0,4062.319576583165,203647.747745954,1.0
 ,17,0.0,47820.103142017804,4250.675834846027,0.0,0.0,18095.127028939536,0.0,34005.40667876822,4250.675834846026,0.0,27300.50102184512,0.0,0.0,0.0,203153.0815092755,0.0,0.0,0.0,0.0,0.0,4250.675834846027,203153.0815092755,1.0
 ,18,27984.661252110836,56668.93903552444,5037.23902537995,5037.23902537995,0.0,21443.526531042447,0.0,40297.9122030396,0.0,0.0,27300.50102184512,0.0,0.0,0.0,252521.33984975037,0.0,0.0,0.0,0.0,0.0,5037.23902537995,252521.33984975037,1.0
 ,19,34877.657084937186,70627.2555969978,6277.978275288693,6277.978275288694,0.0,26725.353517903965,0.0,50223.826202309545,0.0,0.0,27300.50102184512,0.0,0.0,0.0,314720.7185594985,0.0,0.0,0.0,0.0,0.0,6277.978275288693,314720.71855949843,1.0
 ,20,43365.10002234057,87814.32754523963,7805.718004021302,7805.718004021303,0.0,33228.94154311868,0.0,62445.74403217041,0.0,0.0,27300.50102184512,0.0,0.0,0.0,391307.6903703415,0.0,0.0,0.0,0.0,0.0,7805.718004021302,391307.6903703414,1.0
 ,21,57537.85277054089,116514.1518603453,10356.81349869736,10356.813498697362,0.0,44088.95506395466,0.0,82854.50798957888,0.0,0.0,27300.50102184512,0.0,0.0,0.0,519196.41059077386,0.0,0.0,0.0,0.0,0.0,10356.81349869736,519196.41059077386,1.0
 ,22,70328.2396267088,162470.34174004316,14441.808154670505,12659.083132807586,0.0,61478.77731443234,0.0,115534.46523736404,1782.7250218629206,0.0,29083.226043708055,0.0,0.0,0.0,719813.2655971058,0.0,0.0,0.0,0.0,0.0,14441.808154670505,719813.2655971057,1.0
