Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Morocco,1,60025.98667092892,128379.19472489679,11411.483975546382,10804.677600767205,0.0,0.0,0.0,91291.87180437105,606.8063747791758,0.0,606.8063747791758,0.0,0.0,468801.92078816064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11411.483975546384,468801.9207881607,1.0
Profile: 2020ma,2,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,1217.8546847985135,0.0,0.0,475035.02141509874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5779.2614836016955,0.0,5779.2614836016955,11415.725910786543,469255.75993149716,1.0
Location: Morocco,3,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,1828.9029948178513,0.0,0.0,473395.76599928865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4218.06584949461,0.0,9997.327333096306,11415.725910786603,469177.70014979405,1.0
Fuel: NH3,4,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,2439.951304837189,0.0,0.0,469438.126154441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.8850448799058,0.0,10446.212377976211,11415.725910786543,468989.24110956106,1.0
Electrolyser: SOEC,5,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,3050.999614856527,0.0,0.0,461960.24829074263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7375.314280604712,3070.898097371499,11415.725910786545,469335.56257134734,1.0
CO2 capture: All,6,60025.98667092892,126862.35818001494,11276.654060445773,10804.677600767205,0.0,0.0,0.0,90213.23248356619,471.976459678569,0.0,3522.976074535096,0.0,0.0,460643.98160178785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070.898097371499,0.0,11276.654060445773,463714.87969915936,1.0
CO2taxWTTup: 0,7,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,4134.024384554434,0.0,0.0,470121.7976138992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0007565821288,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
CO2taxWTTop: 0,8,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193551,0.0,4745.072694573789,0.0,0.0,475277.12110183877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6310.324244521675,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
CO2WTTop_treshhold -1,9,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,5356.121004593127,0.0,106373.71877128133,478918.83565452317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116325.7575684874,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
Renewable criterion: None,10,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,5967.169314612464,0.0,293531.2522698093,480887.4103462514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305451.8657587436,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
