Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Morocco,1,61442.22288073098,129607.7081546882,11520.685169305618,11059.600118531576,0.0,49043.556765734014,0.0,92165.48135444494,461.08505077404163,0.0,461.08505077404163,0.0,0.0,0.0,0.0,576464.4337704813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11520.685169305623,576464.4337704814,1.0
Profile: 2020ma,2,61442.22288073098,132257.56357342226,11756.227873193091,11059.600118531576,0.0,50046.26205618298,0.0,94049.82298554473,696.6277546615141,0.0,1157.7128054355499,0.0,0.0,0.0,0.0,587721.7556602132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11756.227873193096,587721.7556602133,1.0
Location: Morocco,3,61442.22288073098,131410.89510750017,11680.968454000016,11059.600118531576,0.0,49725.882708678066,0.0,93447.74763200013,621.3683354684391,0.0,1779.081140903989,0.0,0.0,0.0,0.0,584124.872831291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11680.968454000016,584124.872831291,1.0
Fuel: NH3,4,61442.22288073098,129847.39760316866,11541.990898059437,11059.600118531576,0.0,49134.255253039024,0.0,92335.9271844755,482.3907795278608,0.0,2261.47192043185,0.0,0.0,0.0,0.0,577482.7011280286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11541.990898059437,577482.7011280284,1.0
Electrolyser: Mix,5,61442.22288073098,127030.11796996878,11291.566041775002,11059.600118531576,0.0,48068.196639836184,0.0,90332.52833420002,231.96592324342623,0.0,2493.4378436752268,0.0,0.0,0.0,0.0,565514.1146685196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11291.566041775006,565514.1146685196,1.0
CO2 capture: All,6,61442.22288073098,126534.21640508018,11247.485902673794,11059.600118531576,0.0,47880.547487682335,0.0,89979.88722139035,187.88578414221843,0.0,2681.323627817445,0.0,0.0,0.0,0.0,563407.3870704381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11247.485902673798,563407.3870704382,1.0
CO2taxWTTup: 0,7,61442.22288073098,130104.96983337088,11564.886207410746,11059.600118531576,0.0,49231.72058494754,0.0,92519.08965928596,505.2860888791687,0.0,3186.6097166966138,0.0,0.0,0.0,0.0,578576.9395097693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11564.88620741075,578576.9395097694,1.0
CO2taxWTTop: 0,8,61442.22288073098,132382.60703424946,11767.34284748884,11059.600118531576,0.0,50093.57850175999,0.0,94138.74277991072,707.742728957264,0.0,3894.352445653878,0.0,0.0,0.0,0.0,588252.9750161017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11767.342847488842,588252.9750161017,1.0
CO2WTTop_treshhold -1,9,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,4631.657345465115,0.0,139605.03171043383,0.0,0.0,596243.6886145136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146182.87678195053,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
Renewable criterion: None,10,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,5368.962245276352,0.0,385230.8658047348,0.0,0.0,603031.3975348094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398596.4197965473,0.0,0.0,0.0,11796.905018342813,589665.8435429969,1.0
