Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Arica - all renewables,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Profile: 2020ma,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Location: Arica,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fuel: NH3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Electrolyser: SOEC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2 capture: All,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2taxWTTup: 0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2taxWTTop: 0,8,6978.564839846943,14131.59380069006,1256.1416711724498,1256.1416711724498,0.0,0.0,0.0,10049.133369379599,0.0,0.0,0.0,0.0,51760.451577447275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.1416711724498,51760.45157744727,1.0
CO2WTTop_treshhold -1,9,50135.47898100568,101524.3449365365,9024.386216581022,9024.386216581022,0.0,0.0,0.0,72195.08973264818,0.0,0.0,0.0,0.0,371857.98106955545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9024.386216581022,371857.9810695554,1.0
Renewable criterion: None,10,56433.379275696316,215090.22781249558,19119.131361110718,10158.008269625338,0.0,0.0,0.0,152953.05088888574,8961.123091485379,0.0,8961.123091485379,0.0,766871.9536342846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19119.131361110718,766871.9536342844,1.0
Renewable application: 0,11,56433.379275696316,222581.00695666944,19784.978396148395,10158.008269625338,0.0,0.0,0.0,158279.82716918716,9626.97012652306,0.0,18588.09321800844,0.0,918066.9569263017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119347.4071459937,0.0,119347.4071459937,19784.978396148395,798719.549780308,1.0
 ,12,56433.379275696316,222581.00695666936,19784.978396148388,10158.008269625338,0.0,0.0,0.0,158279.8271691871,9626.970126523052,0.0,28215.06334453148,0.0,994345.5171456976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191993.65497399002,0.0,311341.0621199837,19784.978396148388,802351.8621717076,1.0
 ,13,56433.379275696316,222581.00695666936,19784.978396148388,10158.008269625338,0.0,0.0,0.0,158279.8271691871,9626.970126523052,0.0,37842.033471054536,0.0,1.025674211521521e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221830.50676048847,0.0,533171.5688804722,19784.978396148388,803843.7047610325,1.0
 ,14,56433.379275696316,222581.00695666936,19784.978396148388,10158.008269625338,0.0,0.0,0.0,158279.8271691871,9626.970126523052,0.0,47469.00359757759,0.0,1.0161393914940965e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212749.72578198893,0.0,745921.2946624612,19784.978396148388,803389.6657121074,1.0
 ,15,56433.379275696316,222581.00695666936,19784.978396148388,10158.008269625338,0.0,0.0,0.0,158279.8271691871,9626.970126523052,0.0,57095.973724100644,0.0,963016.8227698742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162156.80318749166,0.0,908078.0978499528,19784.978396148388,800860.0195823826,1.0
 ,16,56433.379275696316,222581.00695666944,19784.978396148395,10158.008269625338,0.0,0.0,0.0,158279.82716918716,9626.97012652306,0.0,66722.9438506237,0.0,817270.288064957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23350.579658998755,0.0,931428.6775089515,19784.978396148395,793919.7084059583,1.0
 ,17,56433.379275696316,166203.03760841384,14773.60334297012,10158.008269625338,0.0,0.0,0.0,118188.82674376096,4615.595073344782,0.0,71338.53892396849,0.0,597969.4274341936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931428.6775089515,14773.60334297012,597969.4274341934,1.0
 ,18,56433.379275696316,114277.59303328504,10158.008269625338,10158.008269625338,0.0,0.0,0.0,81264.0661570027,0.0,0.0,71338.53892396849,0.0,336442.9352534073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86449.43781119691,844979.2396977546,10158.008269625338,422892.3730646041,1.0
 ,19,56433.379275696316,40626.8615363878,3611.276581012249,10158.008269625338,0.0,0.0,0.0,28890.212648097993,0.0,6546.731688613087,64791.8072353554,0.0,170264.64334686604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844979.2396977546,3611.276581012249,170264.64334686604,1.0
 ,20,56433.379275696316,7092.98961941091,630.4879661698586,10158.008269625338,0.0,0.0,0.0,5043.903729358869,0.0,9527.520303455478,55264.28693189992,0.0,57208.920164546995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844979.2396977546,630.4879661698586,57208.92016454699,1.0
 ,21,56433.379275696316,0.0,0.0,10158.008269625338,0.0,0.0,0.0,0.0,0.0,10158.008269625338,45106.278662274584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35048.098708064026,809931.1409896906,0.0,35048.098708064026,1.0
 ,22,56433.379275696316,114277.59303328507,10158.00826962534,10158.008269625338,0.0,0.0,0.0,81264.06615700272,0.0,0.0,45106.278662274584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440599.8959726783,369331.24501701223,10158.00826962534,440599.8959726783,1.0
 ,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45106.278662274584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369331.24501701223,0.0,0.0,1.0
 ,24,56433.379275696316,0.0,0.0,10158.008269625338,0.0,0.0,0.0,0.0,0.0,10158.008269625338,34948.27039264925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35048.098708064026,334283.1463089482,0.0,35048.098708064026,1.0
 ,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34948.27039264925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334283.1463089482,0.0,0.0,1.0
 ,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34948.27039264925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334283.1463089482,0.0,0.0,1.0
 ,27,56433.379275696316,0.0,0.0,10158.008269625338,0.0,0.0,0.0,0.0,0.0,10158.008269625338,24790.26212302391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35048.098708064026,299235.0476008842,0.0,35048.098708064026,1.0
 ,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24790.26212302391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299235.0476008842,0.0,0.0,1.0
 ,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24790.26212302391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299235.0476008842,0.0,0.0,1.0
 ,30,56433.379275696316,0.0,0.0,10158.008269625338,0.0,0.0,0.0,0.0,0.0,10158.008269625338,14632.253853398573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35048.098708064026,264186.9488928202,0.0,35048.098708064026,1.0
 ,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14632.253853398573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264186.9488928202,0.0,0.0,1.0
 ,32,17446.41209961736,35328.98450172516,3140.354177931125,3140.3541779311245,0.0,0.0,0.0,25122.833423449,0.0,0.0,14632.253853398573,0.0,129401.1289436182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264186.9488928202,3140.354177931125,129401.12894361818,1.0
