Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Arica - all renewables,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Profile: 2020ma,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Location: Arica,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fuel: NH3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Electrolyser: Mix,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2 capture: All,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2taxWTTup: 0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO2taxWTTop: 0,8,6929.398400928658,14032.031746127122,1247.2917107668554,1247.2917121671585,0.0,5309.720812734503,0.0,9978.333686134843,0.0,0.0,0.0,0.0,62527.859492571224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.2917107668554,62527.859492571224,1.0
CO2WTTop_treshhold -1,9,49782.256880752466,100809.07018352374,8960.806238535444,8960.806238535444,0.0,38146.15215744538,0.0,71686.44990828355,0.0,0.0,0.0,0.0,449213.3063545249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8960.806238535444,449213.3063545249,1.0
Renewable criterion: None,10,56703.885878318484,212448.11533405722,18884.276918582866,10206.699458097328,0.0,80390.36684240725,0.0,151074.21534866292,8677.577460485536,0.0,8677.577460485536,0.0,926399.602482042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18884.276918582866,926399.602482042,1.0
Renewable application: 0,11,56703.885878318484,246532.83540164304,21914.02981347938,10206.699458097328,0.0,93288.02491598172,0.0,175312.23850783505,11707.330355382055,0.0,20384.907815867587,0.0,1.109046770999816e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37845.80969287292,0.0,0.0,0.0,21914.02981347938,1.071200961306943e6,1.0
 ,12,56703.885878318484,246532.83540164304,21914.02981347938,10206.699458097328,0.0,93288.02491598172,0.0,175312.23850783505,11707.330355382053,0.0,32092.238171249643,0.0,1.2011930902520262e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129992.12894508312,0.0,0.0,0.0,21914.02981347938,1.071200961306943e6,1.0
 ,13,56703.885878318484,246532.83540164304,21914.02981347938,10206.699458097328,0.0,93288.02491598172,0.0,175312.23850783505,21875.394154613234,10168.063799231179,43799.5685266317,0.0,1.2390388999448982e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150742.81777778827,0.0,150742.81777778827,21914.02981347938,1.0882960821671097e6,1.0
 ,14,56703.885878318484,246532.83540164304,21914.02981347938,10206.699458097328,0.0,93288.02491598172,0.0,175312.23850783505,11707.330355382055,0.0,55506.89888201376,0.0,1.227520610038372e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148875.85593469406,0.0,299618.6737124823,21914.02981347938,1.0786447541036778e6,1.0
 ,15,56703.885878318484,246532.83540164304,21914.02981347938,10206.699458097328,0.0,93288.02491598172,0.0,175312.23850783505,11707.330355382055,0.0,67214.22923739582,0.0,1.163347280559154e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87758.39928781975,0.0,387377.0730003021,21914.02981347938,1.0755888812713341e6,1.0
 ,16,56703.885878318484,226779.1908170195,20158.15029484618,10206.699458097328,0.0,85813.24580516017,0.0,161265.20235876943,9951.45083674885,0.0,77165.68007414481,0.0,987281.9919879667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387377.0730003021,20158.15029484618,987281.9919879666,1.0
 ,17,56703.885878318484,164419.64614791336,14615.079657592298,10206.699458097328,0.0,62216.39410237041,0.0,116920.63726073838,4408.38019949497,0.0,81574.06027363979,0.0,722361.3241378623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387377.0730003021,14615.079657592298,722361.3241378623,1.0
 ,18,56703.885878318484,99018.87783504056,8801.678029781384,10206.699458097328,0.0,37468.74337277935,0.0,70413.42423825107,0.0,1405.021428315942,80169.03884532384,0.0,406431.086701713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41484.55463746931,345892.5183628328,8801.678029781384,447915.6413391822,1.0
 ,19,56703.885878318484,41354.12795207274,3675.9224846286884,10206.699458097328,0.0,15648.402017064325,0.0,29407.379877029507,0.0,6530.776973468637,73638.26187185521,0.0,205683.7483308264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345892.5183628328,3675.9224846286884,205683.7483308264,1.0
 ,20,56703.885878318484,8561.062387475435,760.9833233311498,10206.699458097328,0.0,3239.5060074207045,0.0,6087.866586649198,0.0,9445.716134766179,64192.545737089036,0.0,69109.73943915768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345892.5183628328,760.9833233311498,69109.73943915768,1.0
 ,21,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097328,53985.84627899171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.097545482044,310676.42081735074,0.0,35216.09754548201,1.0
 ,22,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097328,43779.146820894384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.09754548201,275460.32327186875,0.0,35216.09754548201,1.0
 ,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43779.146820894384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275460.32327186875,0.0,0.0,1.0
 ,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43779.146820894384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275460.32327186875,0.0,0.0,1.0
 ,25,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097328,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.097545482684,240244.22572638607,0.0,35216.09754548204,1.0
 ,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240244.22572638607,0.0,0.0,1.0
 ,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240244.22572638607,0.0,0.0,1.0
 ,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240244.22572638607,0.0,0.0,1.0
 ,29,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097328,23365.747904699732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.097545481985,205028.12818090408,0.0,35216.09754548201,1.0
 ,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23365.747904699732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,0.0,0.0,1.0
 ,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23365.747904699732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,0.0,0.0,1.0
 ,32,56703.885878318484,29501.212687760468,2622.3300166898193,10206.699458097328,0.0,11163.25888104856,0.0,20978.640133518555,0.0,7584.369441407509,15781.378463292232,0.0,156319.64873142808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,2622.3300166898193,156319.64873142808,1.0
