Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Ceduna - all renewables,1,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,5605.002195629326,980328.0070891572,43556.130336856455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162252.58610074897,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
Profile: 2020ma,2,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,11210.004391258652,990460.596309717,48335.48521959895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177164.5302040513,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
Location: Ceduna,3,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,16815.006586887976,990460.596309717,83245.54203663811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212074.58702109044,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
Fuel: NH3,4,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,22420.008782517303,986660.8753520071,142456.054694355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267485.37872109737,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
Electrolyser: AEC,5,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,28025.01097814663,979061.4334365873,233803.44484110633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351233.3269524289,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
CO2 capture: All,6,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,33630.01317377596,957529.6813428978,365026.4890113683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460924.6190290014,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
CO2taxWTTup: 0,7,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,39235.015369405286,913199.6035029488,463035.6426742378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514603.6948519218,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
CO2taxWTTop: 0,8,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,44840.017565034614,830872.3160859008,505531.6679779659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474772.4327386019,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
CO2WTTop_treshhold -1,9,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629326,0.0,50445.01976066394,672550.6095146544,494303.34274194983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305222.4009313395,0.0,0.0,0.0,16633.031562863118,861631.5513252647,1.0
Renewable criterion: None,10,61266.82981796551,167881.7088766142,14922.81856681015,11028.029367233792,0.0,84701.91818521441,0.0,119382.5485344812,3894.7891995763584,0.0,54339.8089602403,338175.16523618216,436632.0789288412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.81856681015,774807.2441650232,1.0
Renewable application: 0,11,61266.82981796551,87588.9664515676,7785.685906806009,11028.029367233792,0.0,44191.553207030905,0.0,62285.487254448075,0.0,3242.3434604277827,51097.46549981252,0.0,415516.20399315265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7785.685906806009,415516.20399315265,1.0
 ,12,61266.82981796551,93269.13337899387,8290.589633688343,11028.029367233792,0.0,47057.38676081503,0.0,66324.71706950675,0.0,2737.4397335454487,48360.02576626707,0.0,440674.61000921146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8290.589633688343,440674.61000921146,1.0
 ,13,61266.82981796551,92597.30071187639,8230.871174389013,11028.029367233792,0.0,46718.42478583203,0.0,65846.9693951121,0.0,2797.1581928447795,45562.86757342229,0.0,437698.95115443703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8230.871174389013,437698.951154437,1.0
 ,14,61266.82981796551,79757.84616252859,7089.586325558097,11028.029367233792,0.0,40240.49198386775,0.0,56716.69060446478,0.0,3938.443041675695,41624.4245317466,0.0,380830.867046284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089.586325558097,380830.867046284,1.0
 ,15,61266.82981796551,61733.943148202976,5487.461613173598,11028.029367233792,0.0,31146.83211637334,0.0,43899.69290538879,0.0,5540.567754060194,36083.85677768641,0.0,300999.99661200016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5487.461613173598,300999.99661200016,1.0
 ,16,61266.82981796551,51642.63792412606,4590.456704366761,11028.029367233792,0.0,26055.432253985735,0.0,36723.65363493409,0.0,6437.572662867031,29646.284114819377,0.0,256303.9238903595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4590.456704366761,256303.9238903595,1.0
 ,17,61266.82981796551,53860.89782055959,4787.63536182752,11028.029367233792,0.0,27174.618313732997,0.0,38301.08289462016,0.0,6240.394005406272,23405.890109413103,0.0,266128.96668164636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4787.63536182752,266128.96668164636,1.0
