Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Semi-islanded,1,51167.5901382979,103614.37003005324,9210.16622489362,9210.166224893623,0.0,0.0,0.0,73681.32979914897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
Profile: 2020,2,51167.59013829795,103614.37003006766,9210.166224894903,9210.166224893632,0.0,0.0,0.0,73681.32979915923,1.2714735930785537e-9,0.0,1.2714735930785537e-9,0.0,0.0,0.0,0.0,379513.214030189,0.0,0.0,0.0,0.0,9210.166224894903,379513.214030189,1.0
Location: Bornholm,3,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,1.2605596566572785e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,5.543586753663562e-11,0.0,5.543586753663562e-11,9210.16622489362,379513.21403013915,1.0
Fuel: NH3,4,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-9.094947017729282e-12,0.0,1.2514647096395493e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,8.142143044443358e-12,0.0,6.357801058107898e-11,9210.166224893625,379513.21403013926,1.0
Electrolyser: SOEC,5,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-9.094947017729282e-12,0.0,1.24236976262182e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,1.0726623821981429e-10,0.0,1.7084424880089325e-10,9210.16622489362,379513.21403013915,1.0
CO2 capture: None,6,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,1.2314558262005448e-9,0.0,0.0,0.0,0.0,379513.21403013915,0.0,5.543586753663562e-11,0.0,2.2628011633752889e-10,9210.16622489362,379513.21403013915,1.0
CO2taxWTTup: 0,7,51167.59013829795,103614.37003005337,9210.166224893634,9210.166224893632,0.0,0.0,0.0,73681.32979914907,1.8189894035458565e-12,0.0,1.2332748156040907e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,-4.488183116163349e-10,0.0,-2.22538195278806e-10,9210.166224893634,379513.2140301396,1.0
CO2taxWTTop: 0,8,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,1.2223608791828156e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,6.520643918996766e-11,0.0,-1.5733175608883834e-10,9210.16622489362,379513.21403013915,1.0
CO2WTTop_treshhold -1,9,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,1.2114469427615404e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,9.912409517537092e-11,0.0,-9.912409517537092e-11,9210.16622489362,379513.21403013915,1.0
Renewable criterion: None,10,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,1.2005330063402653e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,9.912409517537092e-11,0.0,0.0,9210.16622489362,379513.21403013915,1.0
