Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
Scenario: Semi-islanded-hgp,1,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,1.1087173507327125e-10,10086.747728571943,415633.54624750634,1.0
Profile: 2030hgp,2,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,2.217434701465425e-10,10086.747728571943,415633.54624750634,1.0
Location: Bornholm,3,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,3.326152052198137e-10,10086.747728571943,415633.54624750634,1.0
Fuel: NH3,4,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,-4.901697761134098e-9,5.234312966353911e-9,10086.747728571832,415633.5462475015,1.0
Electrolyser: SOEC,5,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,-1.2254244402835243e-10,5.356855410382264e-9,10086.747728571943,415633.5462475063,1.0
CO2 capture: None,6,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,5.356855410382264e-9,10086.747728571945,415633.5462475064,1.0
CO2taxWTTup: 0,7,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462474994,0.0,-6.633100720975135e-9,0.0,-1.2762453105928714e-9,10086.747728571945,415633.54624750605,1.0
CO2taxWTTop: 0,8,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.54624750174,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571832,415633.54624750174,1.0
CO2WTTop_treshhold -1,9,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571945,415633.5462475064,1.0
Renewable criterion: None,10,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.5462475031,0.0,1.2762453105928714e-9,0.0,0.0,10086.747728571832,415633.5462475018,1.0
