Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,CO2 tax level upstream (Eur/kgCO2),CO2 tax level operational(Eur/kgCO2),Weight costs vs emissions,Max yearly emission treshhold,Renewable criterion,Criterion application,Installed capacity(MW or t/h),Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),CO2 tax infrastructure (MEuros),CO2 tax process (MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,CO2e per unit total (kgCO2e/GJfuel),CO2e per unit counted (kgCO2e/GJfuel),CO2e total all system (kg CO2e/GJfuel),CO2e counted all system (kg CO2e/GJfuel),Land use per unit (km2),Land use per unit (km2/GJfuel),Land use total system (km2/GJfuel),Av electricity cost(Euros/MWh)
Worst case,NH3 plant + ASU - SOEC,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,64.2721682474511,428.1914684114389,37.89305030189725,17.12765873645756,0.0,0.0,0.0,0.0,55.02070903835481,425.80645161293813,0.0,251.22580645160596,1.0927149409181833,58.748115103128136,211.4932143712613,0.12921530152945904,0.7863563109100808,6625.051919417431,0.0,0.0,0.0,0.0,0.0,0.0,3.343059518920885e-5,57.553074314972676
Worst case,Waste water plant,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,186.91428409630726,22.61534988194996,2.642141035277087,0.6784604964584988,0.0,0.0,0.0,0.11220511711629162,3.432806648851878,863.1162855099516,0.0,3.4524651420398786,0.0,0.0,0.0,0.003977223818484303,0.5480963498915393,4617.711747836219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Electrolysers SOEC heat integrated,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,16.614603030782867,657.6720827063665,58.20106926605013,56.23096307139434,0.0,0.0,0.0,0.0,114.43203233744447,76.72144760088582,0.0,2907.7428640735434,0.0,0.0,0.0,1.491525980228288,0.5480963498915393,4617.711747836219,0.0,0.0,0.0,0.0,0.2647703138985558,3.343059518920885e-5,0.0,57.553074314972676
Worst case,H2 pipeline to NH3 plant,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,11.5689902845412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.64516129032349,0.0,0.0,0.0,0.0,0.0,0.0,0.7863563109100808,6625.051919417431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Heat from district heating,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Heat sent to district heating,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Heat sent to other process,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Sale of oxygen,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,132.91682424626293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.7715808070866,0.0,0.0,0.0,0.0,0.0,0.0,0.5480963498915393,4617.711747836219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,H2 pipes compressor,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,885.0386096075601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87878597795839,0.0,30.90605881928101,0.0,0.0,0.0,0.0,0.0044094421228743,37.149549885215976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,H2 pipes valve,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,896.6075998921013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.80249966739849,0.0,0.0,0.0,0.0,0.0,0.0,0.004342447879183365,36.58512338211985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,H2 buried pipes,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,847.6256728676814,211.90641821692037,17.321836287841712,6.35719254650761,0.0,0.0,0.0,0.0,23.679028834349324,3579.4945508197616,0.0,0.0,0.0,0.0,0.0,0.006615187842352336,0.5012422766978648,4222.966181179511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,OFF_SP379-HH100,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,OFF_SP379-HH150,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,505.6176412924242,1161.2095095050886,103.14726035423035,19.00905313594843,6.211550984810342,0.0,0.0,0.0,128.36786447498912,2206.1723250304626,0.0,0.0,0.0,0.0,0.0,0.05818578314058791,0.5179016617210578,4363.321499999912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,OFF_SP450-HH100,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,OFF_SP450-HH150,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,300.2427652104258,616.3387984608754,54.747793564274836,11.287839290932167,3.4684715836266453,0.0,0.0,0.0,69.50410443883365,1231.9058535725094,0.0,0.0,0.0,0.0,0.0,0.056419980664328157,0.48700683679524503,4103.0325999999395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Electricity from the grid,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Curtailment,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,1242.580095291875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.3069170697857,0.0,0.0,0.0,0.0,0.0,0.0,0.02247710590713558,189.36961726761726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Charge batteries,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,692.9969589635344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52224979913845,0.0,4.526112489956922,0.0,0.0,0.0,0.0,0.015504369174137285,130.62431029210663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Discharge batteries,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,934.7740544502093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.10978446546245,0.0,4.505489223273088,0.0,0.0,0.0,0.0,0.011441827388951721,96.39739575191825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
Worst case,Batteries,2030 worst,Bornholm,2020,NH3,SOEC,None,0.0,0.0,C1_E0,-1.0,None,0.0,934.7740544502093,606.3088285413634,61.753893415914746,9.094632428120448,0.0,0.0,0.0,0.0,70.8485258440352,3346.0696016662,0.0,0.0,0.0,0.0,0.0,0.021173655744864257,0.42487229373361746,3579.549074705727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.553074314972676
